Period,Programme,Project ID (2021-2027 only),Project acronym,Project name,Description,Expected Achievements,Project start,Project end,Relevant mentions and prizes,Project's total budget / expenditure,Project's EU funding,Union co-financing rate,Contributing EU funds,Programme specific objective (2021-2027 only),Type of intervention (2021-2027 only),Programme Priority (2021-2027 only),Operation of strategic importance (OSI) or project above EUR 5 million,Policy Objective (Interreg Specific Objective),Theme 1,Theme 2,Theme 3,Number of Partners,ERDF Contribution (amount),ERDF Contribution (co-financing rate),ERDF equivalent (amount ),ERDF equivalent (co-financing rate ),ERDF equivalent (source ),Delivered output indicators (2021-2027 only),Delivered result indicators (2021-2027 only),European Union MRSs to which the project contributes,Website,Project is Small Project (2021-2027 only),Call serial number
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S002,BSR Food Coalition,Baltic Municipality’s Food Coalition,"Problem statement
Various district municipalities across the Baltics have put food and sustainability as a theme in their long term regional strategic plans. Essential involvement, collaboration and having a common goal from district, metropolitan and local municipalities are key to advancing food systems sustainability and to tackle the challenges that come with it. 
However, the lack of knowledge, experience and competencies in sustainable food, food security and how to work with the SDGs at the municipality level, and the bottom-up collaboration scarcity, have become impediments on the development of resilient and sustainable food regions.

Three important entry points that need to be addressed urgently and could be solved:
- Smallholder farmers are very important to food security, and increasing agricultural productivity is closely linked to reducing rural poverty and hunger. Yet, food continues to be lost and wasted, instead of reaching school meals.
- Organic food is always part of the sustainable school food and the demand for it is increasing in the Baltic States but the supply is weak and unorganised.
- Getting smallholder farmers closer to schools. 

What we specifically are going to tackle
- We will tackle the lack of…
 - methodological support
 - working methods
 - awareness of existing tools
- The municipalities will be able to see and map out new challenges that are not clear now, gain knowledge and the know-how to be pro-active and resilient.","Problem statement
Various district municipalities across the Baltics have put food and sustainability as a theme in their long term regional strategic plans. Essential involvement, collaboration and having a common goal from district, metropolitan and local municipalities are key to advancing food systems sustainability and to tackle the challenges that come with it. 
However, the lack of knowledge, experience and competencies in sustainable food, food security and how to work with the SDGs at the municipality level, and the bottom-up collaboration scarcity, have become impediments on the development of resilient and sustainable food regions.

Three important entry points that need to be addressed urgently and could be solved:
- Smallholder farmers are very important to food security, and increasing agricultural productivity is closely linked to reducing rural poverty and hunger. Yet, food continues to be lost and wasted, instead of reaching school meals.
- Organic food is always part of the sustainable school food and the demand for it is increasing in the Baltic States but the supply is weak and unorganised.
- Getting smallholder farmers closer to schools. 

What we specifically are going to tackle
- We will tackle the lack of…
 - methodological support
 - working methods
 - awareness of existing tools
- The municipalities will be able to see and map out new challenges that are not clear now, gain knowledge and the know-how to be pro-active and resilient.",2022-10-01,2024-09-30,0.0,499972.0,399977.6,80%,ERDF,"RSO1.4. Developing skills for smart specialisation, industrial transition and entrepreneurship","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Rural and peripheral development,Agriculture and fisheries and forestry,Knowledge and technology transfer,7,399977.6,80%,,,,"
RCO87 - Organisations cooperating across borders: 10",PSR1 - Organisations with increased institutional capacity: 35,EUSBSR,https://interreg-baltic.eu/project/bsr-food-coalition/,False,S1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C032,BSR Go-abroad,BSR Go-abroad - building market and supply chain opportunities for micro SMEs within the Baltic Sea Region,"Micro SMEs succumb easier to global crisis or unexpected external disturbances. However, micro SMEs operating in international markets are much more likely to recover quickly from or survive a global crisis. As such, local market presence and collaborations within the BSR will make micro SMEs more resilient by diversifying their market base, and creating local value chains that will shield them from global supply chain disruptions in the event of future exogenous shocks such as pandemics, wars or financial crisis.

Therefore, the objective of this project is to increase the resilience of BSR micro SMEs and the BSR, by stimulating increased trade and collaboration within the BSR. This will be done by providing micro SMEs with the knowledge, tools and network to execute effectful internationalisation strategies and build strong local value chains within the BSR. 

The project will pilot an internationalisation programme for micro SMEs, that will have as its output a blueprint of tools and recommendations on how to increase and support local trade and value chain cooperations among micro SMEs in the BSR. The blueprint will then be transferred to and used by the micro SMEs themselves, business development organisations and business development departments of local authorities in the Baltic Sea geography.","Micro SMEs succumb easier to global crisis or unexpected external disturbances. However, micro SMEs operating in international markets are much more likely to recover quickly from or survive a global crisis. As such, local market presence and collaborations within the BSR will make micro SMEs more resilient by diversifying their market base, and creating local value chains that will shield them from global supply chain disruptions in the event of future exogenous shocks such as pandemics, wars or financial crisis.

Therefore, the objective of this project is to increase the resilience of BSR micro SMEs and the BSR, by stimulating increased trade and collaboration within the BSR. This will be done by providing micro SMEs with the knowledge, tools and network to execute effectful internationalisation strategies and build strong local value chains within the BSR. 

The project will pilot an internationalisation programme for micro SMEs, that will have as its output a blueprint of tools and recommendations on how to increase and support local trade and value chain cooperations among micro SMEs in the BSR. The blueprint will then be transferred to and used by the micro SMEs themselves, business development organisations and business development departments of local authorities in the Baltic Sea geography. ",2023-11-01,2026-10-31,0.0,2998300.0,2088600.0,80%,ERDF,"RSO1.4. Developing skills for smart specialisation, industrial transition and entrepreneurship","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,SME and entrepreneurship,,,9,2088600.0,80%,387550.0,50.0,Norway,,,EUSBSR,https://interreg-baltic.eu/project/bsr-go-abroad/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C054,BSR HyAirport,BSR Hydrogen Air Transport - Preparation of Baltic Sea Region Airports for Green Hydrogen,"Given the geo-economic structure of the region, efficient and reliable air transport is of great importance for the mobility of people and businesses in the Baltic Sea Region (BSR). Air transport not only provides access to peripheral areas but also helps to connect regions on all sides of the Baltic Sea. As many flights cover short distances in an environmentally sensitive area, the BSR has great potential to benefit from the introduction of hydrogen-powered aircraft, which are expected to come onto the market in the coming years.

The BSR HyAirport project aims to facilitate the early adoption of this key technology in the BSR by preparing airports for storing, handling, and delivering green hydrogen as a future energy source in aviation. Common challenges to be addressed by the partnership include the evaluation of options and elaboration of concepts for the regional supply of green hydrogen to airports according to local demand, legal and safety requirements related to h2 storage and handling at airports, and the development and testing of equipment and procedures for refueling and handling hydrogen-powered aircraft.

With a partnership of airports, technology partners, airlines, and research institutions from across the programme area, the project will create a unique (maybe leading) platform for the joint development, implementation, and testing of practical solutions serving the common challenges and specific needs of hydrogen-powered aviation in the BSR region.","Given the geo-economic structure of the region, efficient and reliable air transport is of great importance for the mobility of people and businesses in the Baltic Sea Region (BSR). Air transport not only provides access to peripheral areas but also helps to connect regions on all sides of the Baltic Sea. As many flights cover short distances in an environmentally sensitive area, the BSR has great potential to benefit from the introduction of hydrogen-powered aircraft, which are expected to come onto the market in the coming years.

The BSR HyAirport project aims to facilitate the early adoption of this key technology in the BSR by preparing airports for storing, handling, and delivering green hydrogen as a future energy source in aviation. Common challenges to be addressed by the partnership include the evaluation of options and elaboration of concepts for the regional supply of green hydrogen to airports according to local demand, legal and safety requirements related to h2 storage and handling at airports, and the development and testing of equipment and procedures for refueling and handling hydrogen-powered aircraft.

With a partnership of airports, technology partners, airlines, and research institutions from across the programme area, the project will create a unique (maybe leading) platform for the joint development, implementation, and testing of practical solutions serving the common challenges and specific needs of hydrogen-powered aviation in the BSR region.
",2023-11-01,2026-10-31,0.0,4832465.73,3865972.58,80%,ERDF,"RSO2.8. Promoting sustainable multimodal urban mobility, as part of transition to a net zero carbon economy",081 Clean urban transport infrastructure,(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Green technologies,Transport and mobility,"Governance, partnership",19,3865972.58,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/bsr-hyairport/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#P001,BSR Mental Health,Baltic Sea Mental Health Platform,"Good mental health is a cornerstone of societal resilience, yet countries in the BSR report alarmingly high rates of mental ill-health. There is an urgent need for effective mental health promotion, prevention, and treatment strategies to address this growing burden, driven by successive crises and expected to persist. The health sector alone cannot meet the demand. Overburdened primary care systems are struggling, creating inefficiencies that worsen the challenges. Addressing this issue requires a cross-sectoral approach to improving mental well-being, ensuring that BSR societies can recover from and adapt to crises. 

Sectors beyond health play a vital role in promoting mental health. Interreg projects highlight the potential of leveraging settings such as schools, workplaces, and cultural environments to improve outcomes. For instance, cultural interventions provide effective non-medical solutions for individuals with mild to moderate mental health conditions. 

However, these approaches require political recognition and systematic adoption. Decision-makers need robust information and evidence to implement cross-sectoral mental health initiatives. This project will create a platform to consolidate outcomes of various projects into actionable policy recommendations for national and regional decision-makers. 

By driving broader adoption of these solutions, the initiative will expand access to effective interventions, improving mental health and resilience across the BSR.","Good mental health is a cornerstone of societal resilience, yet countries in the BSR report alarmingly high rates of mental ill-health. There is an urgent need for effective mental health promotion, prevention, and treatment strategies to address this growing burden, driven by successive crises and expected to persist. The health sector alone cannot meet the demand. Overburdened primary care systems are struggling, creating inefficiencies that worsen the challenges. Addressing this issue requires a cross-sectoral approach to improving mental well-being, ensuring that BSR societies can recover from and adapt to crises. 

Sectors beyond health play a vital role in promoting mental health. Interreg projects highlight the potential of leveraging settings such as schools, workplaces, and cultural environments to improve outcomes. For instance, cultural interventions provide effective non-medical solutions for individuals with mild to moderate mental health conditions. 

However, these approaches require political recognition and systematic adoption. Decision-makers need robust information and evidence to implement cross-sectoral mental health initiatives. This project will create a platform to consolidate outcomes of various projects into actionable policy recommendations for national and regional decision-makers. 

By driving broader adoption of these solutions, the initiative will expand access to effective interventions, improving mental health and resilience across the BSR. ",2025-07-01,2028-06-30,0.0,1199900.8,959920.64,80%,ERDF,ISO6.6. Other actions to support better cooperation governance (all strands),"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_4) Cooperation governance,True,PO6 (ISO1) A better cooperation governance,Health and social services,,,5,959920.64,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/bsr-mental-health/,False,P1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#P008,BSR Urban Mobility,Enhancing active and efficient urban mobility in the Baltic Sea region,"The challenges cities face in terms of urban mobility are similar in all BSR countries – the transformation to emission free and efficient passenger and freight transport is not fast enough. The European Commission recommends European cities of all sizes to embrace the concept of sustainable urban mobility planning (SUMP) as a strategic and integrated approach to tackle urban mobility challenges. Due to the revised TEN-T regulation, the knowledge on SUMP will be more fundamental than ever. BSR Urban Mobility platform brings together different projects that have developed tools, guidance, and demonstrated solutions that can support local and regional authorities in sustainable urban mobility and logistics planning and contribute to successful implementation of these strategies on local level. To facilitate discussion on the key drivers and barriers between cities and regions in the Baltic Sea region, especially the TEN-T Urban Nodes, the project will offer peer learning and capacity building activities. The activities build on the previous project’ results and needs assessment and result in a Training package on Sustainable urban mobility and logistics planning. The final output, BSR Urban Mobility Policy Framework, developed based on transnational policy dialogue, translates the main findings of the platform into joint and concise policy recommendations for enhancing active and efficient urban mobility in BSR cities and shaping up support mechanisms on national and EU level.","The challenges cities face in terms of urban mobility are similar in all BSR countries – the transformation to emission free and efficient passenger and freight transport is not fast enough. The European Commission recommends European cities of all sizes to embrace the concept of sustainable urban mobility planning (SUMP) as a strategic and integrated approach to tackle urban mobility challenges. Due to the revised TEN-T regulation, the knowledge on SUMP will be more fundamental than ever. BSR Urban Mobility platform brings together different projects that have developed tools, guidance, and demonstrated solutions that can support local and regional authorities in sustainable urban mobility and logistics planning and contribute to successful implementation of these strategies on local level. To facilitate discussion on the key drivers and barriers between cities and regions in the Baltic Sea region, especially the TEN-T Urban Nodes, the project will offer peer learning and capacity building activities. The activities build on the previous project’ results and needs assessment and result in a Training package on Sustainable urban mobility and logistics planning. The final output, BSR Urban Mobility Policy Framework, developed based on transnational policy dialogue, translates the main findings of the platform into joint and concise policy recommendations for enhancing active and efficient urban mobility in BSR cities and shaping up support mechanisms on national and EU level.",2025-07-01,2028-06-30,0.0,1179801.0,863760.8,80%,ERDF,ISO6.6. Other actions to support better cooperation governance (all strands),"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_4) Cooperation governance,True,PO6 (ISO1) A better cooperation governance,"Governance, partnership",Transport and mobility,Multimodal transport,7,863760.8,80%,100100.0,50.0,Norway,,,EUSBSR,https://interreg-baltic.eu/project/bsr-urban-mobility/,False,P1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S001,BaMuR,Baltic Museum Resilience: Resilient museums and memory institutions for resilient societies in the Baltic Sea Region,"The resilience of societies and institutions in the BSR was significantly tested during the COVID pandemic and will face even a greater challenge at the time and after the war in Ukraine. During the last two years it became apparent that in every country the museums, memory and cultural institutions have a much bigger role to play in ensuring resilience in the society during the crises than initially expected. 
In the ""Baltic Museum Resilience"" project we shall analyse how the cultural and memory institutions managed and overcame the latest crisis to ensure resilience from three perspectives: governance, business model and digital sustainability and economic sustainability. Based on the best practices already implemented, relevant research and peer reviews we shall develop a toolbox with solutions for the institutions: what and how to do. The toolbox will help to sustain the institutions but also provides additional resilience opportunities for the whole society during a crisis - but the principles could also be applied at any time for improving the organisation's performance and helping to achieve its goals. The toolbox will be piloted and adopted during the project and made available to all respective institutions in the BSR. 
Our main target groups are authorities (responsible for culture and heritage), NGOs active in the field and SMEs providing innovative services in the area, who will increase their capacities to lead the change to resilient heritage institutions.","The resilience of societies and institutions in the BSR was significantly tested during the COVID pandemic and will face even a greater challenge at the time and after the war in Ukraine. During the last two years it became apparent that in every country the museums, memory and cultural institutions have a much bigger role to play in ensuring resilience in the society during the crises than initially expected. 
In the ""Baltic Museum Resilience"" project we shall analyse how the cultural and memory institutions managed and overcame the latest crisis to ensure resilience from three perspectives: governance, business model and digital sustainability and economic sustainability. Based on the best practices already implemented, relevant research and peer reviews we shall develop a toolbox with solutions for the institutions: what and how to do. The toolbox will help to sustain the institutions but also provides additional resilience opportunities for the whole society during a crisis - but the principles could also be applied at any time for improving the organisation's performance and helping to achieve its goals. The toolbox will be piloted and adopted during the project and made available to all respective institutions in the BSR. 
Our main target groups are authorities (responsible for culture and heritage), NGOs active in the field and SMEs providing innovative services in the area, who will increase their capacities to lead the change to resilient heritage institutions.",2022-10-01,2024-09-30,0.0,482500.0,386000.0,80%,ERDF,"RSO1.4. Developing skills for smart specialisation, industrial transition and entrepreneurship","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Cultural heritage and arts,"Governance, partnership",Evaluation systems and results,5,386000.0,80%,,,,"RCO84 - Pilot actions developed jointly: 3
RCO87 - Organisations cooperating across borders: 20
RCO116 - Jointly developed solutions: 1","PSR1 - Organisations with increased institutional capacity: 24
RCR104 - Solutions taken up or upscaled: 1",EUSBSR,https://interreg-baltic.eu/project/bamur/,False,S1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S009,BalMarGrav,"Homogenized marine gravity maps of southern and eastern Baltic Sea for modern 3D applications in marine geodesy, geology and navigation","The project aims to increase the potential of national sectoral agencies and the Baltic Sea Hydrographic Commission (BSHC) to realize their tasks. BSHC is currently implementing a new and unified height reference system for the Baltic Sea Region (BSR) which is consistent to the European height system EVRS. This means that bathymetric measurements, nautical charts etc., which are needed for safe navigation, offshore infrastructure and sea traffic management, will be based on a so-called geoid model. To this end, detailed mapping of the gravity field across borders, onshore and offshore, is needed. Another target group of these kind of data are the national geological services and the offshore exploration industry.

New measurements to modern standards are very costly and time-consuming. In the southeastern BSR data situation and transnational cooperation still need to be improved. In the 60’s to 80’s, campaigns of measurement of the Earth’s gravity have been carried out in the coastal zones of GDR, Poland, Lithuania, Latvia and Estonia, mainly with a support of research infrastructure of the Soviet Union. In a time of independence from the Soviet Union and transformation of the political system, many of these older data remain forgotten or unused. BalMarGrav will build up a transnational network of the relevant experts in the region, save and reprocess the fragmented historical data and provide harmonized and validated open data products to the target groups.","The project aims to increase the potential of national sectoral agencies and the Baltic Sea Hydrographic Commission (BSHC) to realize their tasks. BSHC is currently implementing a new and unified height reference system for the Baltic Sea Region (BSR) which is consistent to the European height system EVRS. This means that bathymetric measurements, nautical charts etc., which are needed for safe navigation, offshore infrastructure and sea traffic management, will be based on a so-called geoid model. To this end, detailed mapping of the gravity field across borders, onshore and offshore, is needed. Another target group of these kind of data are the national geological services and the offshore exploration industry.

New measurements to modern standards are very costly and time-consuming. In the southeastern BSR data situation and transnational cooperation still need to be improved. In the 60’s to 80’s, campaigns of measurement of the Earth’s gravity have been carried out in the coastal zones of GDR, Poland, Lithuania, Latvia and Estonia, mainly with a support of research infrastructure of the Soviet Union. In a time of independence from the Soviet Union and transformation of the political system, many of these older data remain forgotten or unused. BalMarGrav will build up a transnational network of the relevant experts in the region, save and reprocess the fragmented historical data and provide harmonized and validated open data products to the target groups.",2022-10-01,2024-09-30,0.0,499856.15,399884.9,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",ICT and digital society,Coastal management and maritime issues,Knowledge and technology transfer,11,399884.9,80%,,,,"RCO84 - Pilot actions developed jointly: 1
RCO87 - Organisations cooperating across borders: 17
RCO116 - Jointly developed solutions: 1","PSR1 - Organisations with increased institutional capacity: 19
RCR104 - Solutions taken up or upscaled: 1",EUSBSR,https://interreg-baltic.eu/project/balmargrav/,False,S1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S010,BaltSusBoating 2030,Baltic Sustainable Boating 2030 - Making leisure boating in the Baltic Sea fit for the post-pandemic boating tourism market,"More than 1.000 leisure boat harbours and a unique set of varied sub-destinations (e.g. Swedish archipelago, South Coast Baltic, East Baltic Coast) make the Baltic Sea an attractive boating region for sailors and motor boaters from both littoral and far away countries. Despite high class infrastructure and an attractive destination profile of diverse nature & culture experiences, however, it still lags behind international competitors (in particular: Mediterranean Sea) in terms of visibility and tapping economic potentials of leisure boating.

BaltSusBoating 2030 initiates a strategic cooperation at BSR level for developing the Baltic Sea into a single & sustainable boating destination, and to jointly promoting it at international markets. Supported by CBSS, the main boating tourism networks & associations team up to define goals & steps for a collaborative destination development and joint marketing until 

2030. 
This includes: (1) to establish a pan-Baltic cooperation platform, (2) the elaboration of a Sustainability Roadmap, (3) knowledge exchange & peer learning activities, (4) dialogue with policy makers, (5) the iterative development of a joint marketing approach for the Baltic Sea as a single & sustainable boating destination. 

Thus, the project lays foundations for making leisure boating in the Baltic Sea more sustainable and more competitive at international markets until 2030, by utilising new opportunities in the post-pandemic boating tourism.","More than 1.000 leisure boat harbours and a unique set of varied sub-destinations (e.g. Swedish archipelago, South Coast Baltic, East Baltic Coast) make the Baltic Sea an attractive boating region for sailors and motor boaters from both littoral and far away countries. Despite high class infrastructure and an attractive destination profile of diverse nature & culture experiences, however, it still lags behind international competitors (in particular: Mediterranean Sea) in terms of visibility and tapping economic potentials of leisure boating.

BaltSusBoating 2030 initiates a strategic cooperation at BSR level for developing the Baltic Sea into a single & sustainable boating destination, and to jointly promoting it at international markets. Supported by CBSS, the main boating tourism networks & associations team up to define goals & steps for a collaborative destination development and joint marketing until 2030. 
This includes: (1) to establish a pan-Baltic cooperation platform, (2) the elaboration of a Sustainability Roadmap, (3) knowledge exchange & peer learning activities, (4) dialogue with policy makers, (5) the iterative development of a joint marketing approach for the Baltic Sea as a single & sustainable boating destination. 

Thus, the project lays foundations for making leisure boating in the Baltic Sea more sustainable and more competitive at international markets until 2030, by utilising new opportunities in the post-pandemic boating tourism.",2022-10-01,2024-09-30,0.0,494400.0,395519.99,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Tourism,"Governance, partnership",Knowledge and technology transfer,6,395519.99,80%,,,,"
RCO87 - Organisations cooperating across borders: 7",PSR1 - Organisations with increased institutional capacity: 7,EUSBSR,https://interreg-baltic.eu/project/baltsusboating-2030/,False,S1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#P004,Baltic PlaNet,Baltic Climate-Resilient Coastal Planning Network,"The Baltic PlaNet platform is a comprehensive initiative dedicated to enhancing the climate resilience of coastal municipalities in the Baltic Sea Region (BSR). The project aims at increasing municipal authorities' capacities to integrate extreme weather events considerations into their spatial planning, while preserving natural and urban environments.
Through a range of tools and resources from 11 projects, such as the Sea2Land Navigator and Beach-SOS adaptation pathways, MSP-Green Recommendations, building on existing and evolving networks, cooperations, and collaborative approaches (including results from projects such as PASPS, eMSP NBSR, NESBp, Planners’ Forum, ClimaResponse and MoRE), the platform assists coastal municipalities in assessing climate risks, identifying vulnerabilities, and developing effective adaptation strategies through collaboration. By fostering collaboration and knowledge sharing among stakeholders, including policymakers, practitioners, and experts, the platform enhances capacity building and promotes innovative solutions.
The platform builds a strong network of stakeholders across the BSR, facilitating cooperation and the sharing of best practices. It provides targeted support to municipalities in addressing specific climate challenges and implementing sustainable development initiatives. Leveraging existing knowledge and expertise, the Baltic PlaNet platform significantly contributes to the resilience of coastal communities in the BSR.","The Baltic PlaNet platform is a comprehensive initiative dedicated to enhancing the climate resilience of coastal municipalities in the Baltic Sea Region (BSR). The project aims at increasing municipal authorities' capacities to integrate extreme weather events considerations into their spatial planning, while preserving natural and urban environments.
Through a range of tools and resources from 11 projects, such as the Sea2Land Navigator and Beach-SOS adaptation pathways, MSP-Green Recommendations, building on existing and evolving networks, cooperations, and collaborative approaches (including results from projects such as PASPS, eMSP NBSR, NESBp, Planners’ Forum, ClimaResponse and MoRE), the platform assists coastal municipalities in assessing climate risks, identifying vulnerabilities, and developing effective adaptation strategies through collaboration. By fostering collaboration and knowledge sharing among stakeholders, including policymakers, practitioners, and experts, the platform enhances capacity building and promotes innovative solutions.
The platform builds a strong network of stakeholders across the BSR, facilitating cooperation and the sharing of best practices. It provides targeted support to municipalities in addressing specific climate challenges and implementing sustainable development initiatives. Leveraging existing knowledge and expertise, the Baltic PlaNet platform significantly contributes to the resilience of coastal communities in the BSR.",2025-07-01,2028-06-30,0.0,1198254.51,958603.58,80%,ERDF,ISO6.6. Other actions to support better cooperation governance (all strands),"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_4) Cooperation governance,True,PO6 (ISO1) A better cooperation governance,Climate change and biodiversity,Community integration and common identity,Coastal management and maritime issues,8,958603.58,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/baltic-planet/,False,P1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C043,Baltic Sea e-Nav,Shared waters – Same standards. Baltic Sea Partnership for Future Navigation,"Ship navigation is facing a paradigm shift. Finally, full digitalisation of navigational charts (maps at sea) will help reduce the negative impacts of shipping on the marine ecosystem and make the sector more sustainable. When developing navigational products from today’s standards, which are best compared with an early 2000s car navigator, to the new S-100 standards, which are more to equate with complex but user-friendly Google Maps, navigators will be able to plan more energy efficient routes, avoid safety risks and plan operations with extra sensitive areas taken into consideration. The blue data will also be a valuable asset in marine spatial planning and for making better decisions when navigating at sea, especially to help all ocean activities to safely co-exist.

This project will lever the value of this data and start the implementation of the S-100 products. To unlock this potential and ensure seamless navigation in the Baltic Sea, there is a need for transnational cooperation. Without such an effort, the delays of some countries due to varying maturity level will affect the availability of the latest navigational products for shipping in the Baltic Sea. It will as a consequence also affect the implementation of the EUSBSR and a transition to a sustainable blue economy.

After implementing the Baltic Sea e-Nav base package, the partnership will continue to build upon the project's results, under a robust transnational governance model, even after the project ends.","Ship navigation is facing a paradigm shift. Finally, full digitalisation of navigational charts (maps at sea) will help reduce the negative impacts of shipping on the marine ecosystem and make the sector more sustainable. When developing navigational products from today’s standards, which are best compared with an early 2000s car navigator, to the new S-100 standards, which are more to equate with complex but user-friendly Google Maps, navigators will be able to plan more energy efficient routes, avoid safety risks and plan operations with extra sensitive areas taken into consideration. The blue data will also be a valuable asset in marine spatial planning and for making better decisions when navigating at sea, especially to help all ocean activities to safely co-exist.

This project will lever the value of this data and start the implementation of the S-100 products. To unlock this potential and ensure seamless navigation in the Baltic Sea, there is a need for transnational cooperation. Without such an effort, the delays of some countries due to varying maturity level will affect the availability of the latest navigational products for shipping in the Baltic Sea. It will as a consequence also affect the implementation of the EUSBSR and a transition to a sustainable blue economy.

After implementing the Baltic Sea e-Nav base package, the partnership will continue to build upon the project's results, under a robust transnational governance model, even after the project ends.",2023-11-01,2026-10-31,0.0,4883542.72,3906834.17,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",ICT and digital society,Coastal management and maritime issues,,12,3906834.17,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/baltic-sea-e-nav/,False,C2
