Interfacial Functional Layer,Original Submitted Term,Verdict (DROP / KEEP / REWRITE),WG3-Rewritten / Accepted Term Label,Why this term matters (simple),RSAM Anchor (Trigger → Performance),Contributor (original),Contributor discipline/sector,Contributor(s) of similar/anchor proposal,Humanities & Social Sciences,Technology & Engineering,Port Management & Economics,Planning & Transportation,Source field,Submitted definition (as provided),Submission date/time
Performance & Design (Action),Energy Infrastructure Readiness,REWRITE,Energy Infrastructure Readiness (PCT-situated),Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Anas Alamoush,Maritime Energy Management,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,P&T,Term 2 and description,"The capacity of a port and its surrounding energy system (grid, storage, distribution) to support new energy demands linked to electrification and alternative fuels.",15/01/2026 14.01.05
Boundary & Translation (Interpretation),Shore Power / Cold Ironing,KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Anas Alamoush,Maritime Energy Management,,HSS,T&E,,,Term 3 and description,"The provision of electricity from the shore to ships at berth, allowing them to switch off auxiliary engines and reduce emissions in port areas.",15/01/2026 14.01.05
Performance & Design (Action),Alternative Marine Fuels,KEEP,Alternative Marine Fuels (port infrastructure implications),Requires new terminals/safety/governance; contested local impacts,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Anas Alamoush,Maritime Energy Management,,HSS,T&E,,P&T,Term 4 and description,"Low- or zero-carbon fuels such as hydrogen, ammonia, methanol, or biofuels used to reduce greenhouse gas emissions from shipping and port operations.",15/01/2026 14.01.05
Boundary & Translation (Interpretation),Port Electrification,REWRITE,Port Electrification (equipment/traffic/interface impacts),"Generic unless linked to equipment, corridors, noise and exposure",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Anas Alamoush,Maritime Energy Management,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,T&E,,P&T,Term 5 and description,"The replacement of fossil-fuel-based port equipment and vehicles with electric alternatives, supported by upgraded power infrastructure.",15/01/2026 14.01.05
Governance & Scale Integration (Systemic),Port Governance and Energy Planning,REWRITE,Port Governance and Energy Planning (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Anas Alamoush,Maritime Energy Management,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,P&T,Add more terms and their descriptions,,15/01/2026 14.01.05
Boundary & Translation (Interpretation),"The roles, responsibilities, and coordination mechanisms among port authorities, municipalities, energy providers, and regulators in driving the energy transition.",REWRITE,"The roles, responsibilities, and coordination mechanisms among port authorities, municipalities, energy providers, and regulators in driving the energy transition. (PCT-situated)",Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Anas Alamoush,Maritime Energy Management,Colette Szczepaniak,HSS,,,,Add more terms and their descriptions,,15/01/2026 14.01.05
Performance & Design (Action),Renewable Maritime Corridors,REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Julia Richter,Architecture & Urban Planning,Colette Szczepaniak,HSS,,,P&T,Term 1 and description,,15/01/2026 16.54.20
Governance & Scale Integration (Systemic),Environmental Shoreline Governance & Protection,REWRITE,Environmental Shoreline Governance & Protection (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Julia Richter,Architecture & Urban Planning,Colette Szczepaniak,HSS,,,,Term 2 and description,,15/01/2026 16.54.20
,Resource Efficiency & Reduced Waste,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Julia Richter,Architecture & Urban Planning,,,,,,Term 3 and description,,15/01/2026 16.54.20
,Longterm Resilience and Adaptation,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Julia Richter,Architecture & Urban Planning,,,,,,Term 4 and description,,15/01/2026 16.54.20
,Collective Stakeholder Ethos,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Julia Richter,Architecture & Urban Planning,,,,,,Term 5 and description,,15/01/2026 16.54.20
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hala J El-Khozondar,Renewable energy-Physics,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 1 and description,"City Energy Nexus:The interdependent relationship between port activities, urban energy demand, logistics, industry, and surrounding communities, highlighting how energy transition decisions affect both port operations and city systems.",21/01/2026 17.55.48
Boundary & Translation (Interpretation),Shore Power (Cold Ironing),KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Hala J El-Khozondar,Renewable energy-Physics,,HSS,T&E,,,Term 2 and description,"A technology allowing ships at berth to connect to onshore electricity instead of running auxiliary engines, significantly reducing local air pollution and greenhouse gas emissions in port cities.",21/01/2026 17.55.48
Boundary & Translation (Interpretation),Green Port Development,REWRITE,Green Port Narrative (contested),Often used as branding; must be treated as contested claim to avoid greenwashing,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hala J El-Khozondar,Renewable energy-Physics,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 3 and description,"A strategic approach integrating renewable energy, energy efficiency, electrification, and environmental management into port planning and operations to support sustainable economic growth.",21/01/2026 17.55.48
Boundary & Translation (Interpretation),Maritime Energy Transition,REWRITE,Energy Transition in Port–City Territories (PCT-situated),Must be territorialised and conflict-enabled for WG3 use,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hala J El-Khozondar,Renewable energy-Physics,Francesca Savoldi,HSS,,,,Term 4 and description,"The shift from fossil fuels to low- and zero-carbon energy sources in maritime transport, including alternative fuels, electrification, and efficiency measures within port territories.",21/01/2026 17.55.48
Performance & Design (Action),Alternative Marine Fuels,KEEP,Alternative Marine Fuels (port infrastructure implications),Requires new terminals/safety/governance; contested local impacts,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hala J El-Khozondar,Renewable energy-Physics,,HSS,T&E,,P&T,Term 5 and description,"Low-carbon and zero-carbon fuels such as green hydrogen, ammonia, methanol, and biofuels that are increasingly central to port energy infrastructure and planning.",21/01/2026 17.55.48
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hala J El-Khozondar,Renewable energy-Physics,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Add more terms and their descriptions,"Based Renewable Energy Hubs:The development of ports as production, storage, and distribution centers for renewable energy (e.g., offshore wind, solar PV, green hydrogen), leveraging ports’ spatial, logistical, and industrial advantages.",21/01/2026 17.55.48
Boundary & Translation (Interpretation),Aquathermie,REWRITE,Aquathermie (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Regina Klinger,Landscape Architecture,,HSS,,,,Term 1 and description,"The extraction and use of thermal energy from surface water, wastewater, or groundwater for heating and cooling.",23/01/2026 11.23.04
Boundary & Translation (Interpretation),Pre,REWRITE,Pre (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Regina Klinger,Landscape Architecture,,HSS,,,,Term 2 and description,"carbon Energy: Forms of energy production, distribution, and use that existed before fossil-fuel dominance, including water-driven mills, thermal buffering by canals, wind-power and human power",23/01/2026 11.23.04
Boundary & Translation (Interpretation),Historic Urban Landscape (HUL),REWRITE,Historic Urban Landscape (HUL) (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Regina Klinger,Landscape Architecture,,HSS,,,P&T,Term 3 and description,"Understanding port cities as layered systems shaped over time by water, infrastructure, built form, and societal changes rather than as isolated (heritage) objects. Applied to port cities, HUL helps reveal how historic energy use, logistics, and water management are embedded in urban space and can inform contemporary energy transition and climate adaptation strategies",23/01/2026 11.23.04
Boundary & Translation (Interpretation),Intangible Energy Practices,REWRITE,Intangible Energy Practices (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Regina Klinger,Landscape Architecture,Francesca Savoldi,HSS,,,,Term 4 and description,"Non-material practices related to energy, such as shared labor, timing of activities, maintenance routines, and seasonal use of water and space. These practices often disappear from planning debates but are crucial for understanding how energy operated historically.",23/01/2026 11.23.04
Performance & Design (Action),Landscape Infrastructure,REWRITE,Landscape Infrastructure (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Regina Klinger,Landscape Architecture,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,P&T,Term 5 and description,"A port territory can transform into a future-oriented landscape providing future-oriented infrastructures within its reach benefiting port, city, humans, non-humans and ecology.",23/01/2026 11.23.04
Performance & Design (Action),Alternative Marine Fuels,KEEP,Alternative Marine Fuels (port infrastructure implications),Requires new terminals/safety/governance; contested local impacts,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Georgi Hrenov,Academia/ Port Management,,HSS,T&E,,P&T,Term 1 and description,,26/01/2026 12.07.59
Boundary & Translation (Interpretation),Port Energy System,REWRITE,Port Energy System (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Georgi Hrenov,Academia/ Port Management,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 2 and description,,26/01/2026 12.07.59
Boundary & Translation (Interpretation),Port Authority as Energy Actor,REWRITE,Port Authority as Energy Actor (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Georgi Hrenov,Academia/ Port Management,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,PM&E,,Term 3 and description,,26/01/2026 12.07.59
Performance & Design (Action),Green Shipping Corridors,REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Georgi Hrenov,Academia/ Port Management,,HSS,,,P&T,Term 4 and description,,26/01/2026 12.07.59
Performance & Design (Action),Energy Hub / Hydrogen Hub,KEEP,Port-Based Energy / Hydrogen Hub,"Port as multi-vector node; high contestation potential (space, risk, jobs, benefits)","Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Georgi Hrenov,Academia/ Port Management,,HSS,T&E,PM&E,,Term 5 and description,,26/01/2026 12.07.59
Trigger & Baseline (Sensing),"Social inclusivity and energy justice — a concept describing how energy transition processes in port city territories distribute costs, benefits, and risks unevenly across social groups. It highlights inequalities in access to clean energy, exposure to environmental burdens, and participation in decision",KEEP,"Social inclusivity and energy justice — a concept describing how energy transition processes in port city territories distribute costs, benefits, and risks unevenly across social groups. It highlights inequalities in access to clean energy, exposure to environmental burdens, and participation in decision",High PCT relevance and boundary/action potential,Trigger: unequal exposure → Translation: fairness claim → Performance: redesign/compensation/governance reform,Colette Szczepaniak,Sociology,,HSS,,,,Term 1 and description,making. The category frames energy transition as a social and political process that requires principles of just transition and fairness to ensure socially sustainable development.,26/01/2026 12.09.57
Boundary & Translation (Interpretation),Public participation and social consultation — a category referring to the involvement of local communities and social actors in decision,REWRITE,Contested Participation / Stakeholder Engagement in PCTs,Participation is often procedural and conflictual; boundary term for legitimacy,Trigger: exclusion/friction cues → Translation: procedural legitimacy claim → Performance: co-design + transparent decision protocol,Colette Szczepaniak,Sociology,Colette Szczepaniak,HSS,,,,Term 2 and description,"making processes related to energy transition in port city territories. It focuses on mechanisms of participation, co-creation, and dialogue that shape the social legitimacy and acceptance of transition policies and infrastructures.",26/01/2026 12.09.57
Boundary & Translation (Interpretation),"Community resilience and social adaptability — a concept describing the capacity of local communities to respond to, adapt to, and cope with social, economic, and environmental changes generated by energy transition processes. It emphasizes social networks, collective resources, and adaptive strategies that enable communities to manage uncertainty and structural transformation.",REWRITE,Community Adaptive Capacity under Port Energy Transition,Often vague; must be tied to specific stressors and exposures,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Colette Szczepaniak,Sociology,,HSS,T&E,,,Term 3 and description,,26/01/2026 12.09.57
Boundary & Translation (Interpretation),"Labour transitions and occupational identities — a category capturing the social consequences of energy transition for work, employment structures, and professional identities in port city territories. It addresses processes of job transformation, reskilling, occupational displacement, and the reconfiguration of work cultures linked to maritime and port economies.",KEEP,"Labour transitions and occupational identities — a category capturing the social consequences of energy transition for work, employment structures, and professional identities in port city territories. It addresses processes of job transformation, reskilling, occupational displacement, and the reconfiguration of work cultures linked to maritime and port economies.",High PCT relevance and boundary/action potential,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Colette Szczepaniak,Sociology,,HSS,,,,Term 4 and description,,26/01/2026 12.09.57
Boundary & Translation (Interpretation),Territorial identity and socio,REWRITE,Territorial identity and socio (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Colette Szczepaniak,Sociology,,HSS,,,,Term 5 and description,"cultural meanings of energy — a concept referring to the ways energy infrastructures and transition processes reshape local identities, cultural narratives, and symbolic meanings attached to place. It highlights how energy transition transforms collective imaginaries, landscapes, and cultural interpretations of port cities.",26/01/2026 12.09.57
Governance & Scale Integration (Systemic),"Trust, legitimacy, and institutional credibility — a category describing the role of social trust and institutional legitimacy in shaping public acceptance of energy transition policies and projects. It focuses on transparency, accountability, and governance relations between institutions, communities, and stakeholders in port city contexts.",KEEP,"Trust, legitimacy, and institutional credibility — a category describing the role of social trust and institutional legitimacy in shaping public acceptance of energy transition policies and projects. It focuses on transparency, accountability, and governance relations between institutions, communities, and stakeholders in port city contexts.",High PCT relevance and boundary/action potential,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Colette Szczepaniak,Sociology,,HSS,,,,Add more terms and their descriptions,,26/01/2026 12.09.57
,Sustainability,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Ida Sofie Gøtzsche Lange,Urban Design,,,,,,Term 1 and description,,26/01/2026 12.51.06
Boundary & Translation (Interpretation),Cultural and industrial heritage,REWRITE,Cultural and industrial heritage (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ida Sofie Gøtzsche Lange,Urban Design,Colette Szczepaniak,HSS,,,,Term 2 and description,,26/01/2026 12.51.06
,Stakeholder and community involvement,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Ida Sofie Gøtzsche Lange,Urban Design,,,,,,Term 3 and description,,26/01/2026 12.51.06
,Accessibility,DROP,,Generic/umbrella or non-operational term for WG3 glossary core,,Ida Sofie Gøtzsche Lange,Urban Design,,,,,,Term 4 and description,,26/01/2026 12.51.06
Boundary & Translation (Interpretation),More,REWRITE,More (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Ida Sofie Gøtzsche Lange,Urban Design,,HSS,,,,Term 5 and description,than-human perspectives,26/01/2026 12.51.06
Boundary & Translation (Interpretation),Stakeholder engagement,REWRITE,Contested Participation / Stakeholder Engagement in PCTs,Participation is often procedural and conflictual; boundary term for legitimacy,Trigger: exclusion/friction cues → Translation: procedural legitimacy claim → Performance: co-design + transparent decision protocol,Umur Bucak,Maritime Logistics,Colette Szczepaniak,HSS,,,,Term 1 and description,,26/01/2026 15.01.58
Boundary & Translation (Interpretation),The Energy Transition Expertise Centre,REWRITE,Energy Transition in Port–City Territories (PCT-situated),Must be territorialised and conflict-enabled for WG3 use,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Umur Bucak,Maritime Logistics,Francesca Savoldi,HSS,,,,Term 2 and description,,26/01/2026 15.01.58
Boundary & Translation (Interpretation),Suplying increasing alternative energy demand,REWRITE,Suplying increasing alternative energy demand (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Umur Bucak,Maritime Logistics,,HSS,,,,Term 3 and description,,26/01/2026 15.01.58
Boundary & Translation (Interpretation),Onshore Power Supply,KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Umur Bucak,Maritime Logistics,,HSS,T&E,,,Term 4 and description,,26/01/2026 15.01.58
Performance & Design (Action),Electrification,REWRITE,Electrification (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Umur Bucak,Maritime Logistics,Mosè Rossi,HSS,T&E,,,Term 5 and description,,26/01/2026 15.01.58
Boundary & Translation (Interpretation),OPS (on,KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Thanasis Hadzilacos,Computer Sciencde,,HSS,T&E,,,Term 1 and description,"shore power supply) or Cold Iron
Providing electric energy from the shore to berthing ships in order to avoid their use of fossil fuel-based on the ship generators (which produce more CO2 emissions and produce them more closely to the city territory)",26/01/2026 15.18.13
Boundary & Translation (Interpretation),"Port Energy Transition
The shift of port energy production and consumption from current (usually fossil",REWRITE,"Port Energy Transition
The shift of port energy production and consumption from current (usually fossil (PCT-situated)",Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Thanasis Hadzilacos,Computer Sciencde,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 2 and description,based) to cleaner (optimally renewable) forms of energy,26/01/2026 15.18.13
Boundary & Translation (Interpretation),"stakeholder mapping
The process (and the result) of listing, and describing all stakeholders and their relationships and interactions",REWRITE,"stakeholder mapping
The process (and the result) of listing, and describing all stakeholders and their relationships and interactions (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Thanasis Hadzilacos,Computer Sciencde,Colette Szczepaniak,HSS,,,,Term 3 and description,,26/01/2026 15.18.13
Boundary & Translation (Interpretation),"holistic approach
Methodology that takes into account all stakeholders, situations, agents and results (e.g. social, technical, economic factors, short and long",REWRITE,"holistic approach
Methodology that takes into account all stakeholders, situations, agents and results (e.g. social, technical, economic factors, short and long (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Thanasis Hadzilacos,Computer Sciencde,,HSS,,,,Term 4 and description,term effects),26/01/2026 15.18.13
Boundary & Translation (Interpretation),"optimal
Characterization of an objective, solution, or decision that balances various conflicting views, approaches and interests in a way that maximizes/minimizes a pre",REWRITE,"optimal
Characterization of an objective, solution, or decision that balances various conflicting views, approaches and interests in a way that maximizes/minimizes a pre (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Thanasis Hadzilacos,Computer Sciencde,,HSS,,,,Term 5 and description,arranged criterion,26/01/2026 15.18.13
Boundary & Translation (Interpretation),Heritage,REWRITE,Heritage (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Christel Diana Voncken,"Junior Researcher History, Form & Aesthetics",,HSS,,,,Term 1 and description,"The cultural, historical, technological and social legacies passed down through generations.",26/01/2026 17.12.20
Boundary & Translation (Interpretation),Adaptive reuse,REWRITE,Adaptive reuse (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Christel Diana Voncken,"Junior Researcher History, Form & Aesthetics",,HSS,,,,Term 2 and description,"The process of repurposing existing, often historical or derelict, buildings or infrastructure for a new function rather than demolishing them.",26/01/2026 17.12.20
Boundary & Translation (Interpretation),Landscape biography,REWRITE,Landscape biography (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Christel Diana Voncken,"Junior Researcher History, Form & Aesthetics",,HSS,,,,Term 3 and description,This tells the layered life story of a landscape: how it has developed in the continuous interaction between humans and nature.,26/01/2026 17.12.20
Boundary & Translation (Interpretation),Narrative,REWRITE,Narrative (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Christel Diana Voncken,"Junior Researcher History, Form & Aesthetics",,HSS,,,,Term 4 and description,"Narratives serve as value-carrying structures, translating complex and often tacit cultural meanings into communicable and actionable forms that can inform design.",26/01/2026 17.12.20
