"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Human-Nature Relations in Flux: Two Decades of Research in Coastal and Ocean Management","https://scispace.com/paper/human-nature-relations-in-flux-two-decades-of-research-in-1rytt7bnhw","2019","Book Chapter","","Bernhard Glaeser","10.1016/B978-0-12-814003-1.00037-X","","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses interdisciplinary review of governance, social‑ecological typologies, and case studies from Sweden, Germany, and Indonesia to link ocean policy and coastal societies, but lacks explicit blue sociology, posthuman, and blue‑urbanism framing.","The chapter departs from human-nature relations and interlinks changing approaches to integrated and sustainable coastal and ocean management. This paper reviews two decades of interdisciplinary research, 1996–2016. In hindsight, the review discovered an amazing change of focus, adapting to changing societal needs and scientific outlooks: from conflict resolution to governance issues, disaster management, eventually to linking social and ecological factors via typologies of coastal and marine social-ecological systems. Theoretical aspects are embedded and grounded in empirical case studies, taken from economically developed areas [high per capita gross domestic product (GDP) level] in temperate zones (Sweden and Germany) and from economically developing areas (intermediate per capita GDP level with significant incidence of poverty) in tropical zones (Indonesia). Eventually, the maturation of a field may be witnessed."
"Tangaroa Ararau: Reimagining Ocean Governance by Integrating Indigenous Perspectives for a Sustainable Future","https://scispace.com/paper/tangaroa-ararau-reimagining-ocean-governance-by-integrating-brhz033rq52i","2025","Journal Article","","Beth Tupara-Katene
Te Puoho Katene
Horiana Irwin-Easthope
Terence I. Walker","10.5194/oos2025-1237","","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Māori cosmology to treat the ocean as an active agent, analyses governance reforms, foregrounds Indigenous sea‑based communities, and links values to policy, but lacks explicit blue‑urbanism and formal hydrosocial framing.","Aotearoa New Zealand, like many other countries, has reached a point where increasing tensions and stressors afflicting our marine environment have highlighted a need for transformation. In order to promote the health and wellbeing of our oceans, the concepts, values and interests that drive human interactions, decision making and prioritisations in regard to the ocean must be revisited. This has been demonstrated, both locally and internationally, in the mounting momentum towards sustainability, increasing sensitivity to non-financial factors and the social license to operate in industries dependent on natural resources.This context paved the way for this research project Tangaroa Ararau – Te Tiriti o Waitangi, Tikanga Māori and the marine environment. For Māori, the indigenous people of Aotearoa New Zealand, Tangaroa is the deified term given to the physical ocean environment and all life within it.Māori pedagogies invoke direct genealogical connections to Tangaroa, a relationship that compels humans to act with a sense of familial responsibility: a set of behaviours and beliefs that, through this research, can be a foundational framework to put Tangaroa at the heart of the management and governance of the marine environment.This research aimed to reimagine Aotearoa New Zealand’s marine governance system, placing the ocean at its center, and upholding the rights guaranteed to Māori under Te Tiriti o Waitangi—the foundational Treaty between the British Crown and Māori. In collaboration with Māori experts, the research established core design principles grounded in indigenous knowledge. These principles provided a foundation for examining the challenges and biases in current marine governance frameworks and supported the development of new, future-focused models.Futures-thinking methods, such as futures triangles, causal layered analysis, and scenario planning, were also used to analyse key trends, anticipate disruptions, and design governance options that prioritise values-driven, inclusive, and ocean-centered decision-making. The findings emphasise the critical role of indigenous perspectives and values in creating an ocean-centered governance system that equally considers the wellbeing of the environment as well as the diverse communities that depend on it.Establishing transformative, ocean-centric governance models requires broad, principles-based alignment across the spectrum of institutions and communities. A holistic approach built on a foundation of Māori values, that empowers local communities and adopts intergenerational planning horizons, could form a resilient, equitable, and unique marine governance framework capable of addressing the challenges of the 21st century.Such a transformation requires shifting hearts and minds of all people with a connection to the ocean. In order to convey the findings of this research to a broader audience, the research was disseminated in culturally meaningful ways, including through an art exhibition event featuring toi Māori (Māori art), whakairo (carvings), waiata (song), and tā moko (tattooing), drawing a connection between the emotional connection of art and the sea to the prevailing policy issues of the time. This approach aims to inspire a shared commitment to an ocean-centered future for Aotearoa, uniting people in the effort to look after and care for our ocean. "
"The changing social world of the oceans","https://scispace.com/paper/the-changing-social-world-of-the-oceans-9n6le6tunz","2019","Book Chapter","","Larry B. Crowder
Wilf Swartz","10.1016/B978-0-12-817945-1.00025-3","","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses sociological frameworks to examine local ocean contexts, governance structures, and coastal community practices. Mentions relational and posthuman ideas without fully integrating them, and lacks explicit urban or blue‑urban analysis.","There is an increasing recognition that ocean sustainability is embedded in complex interactions between people and environment. Management of such social–ecological systems requires the integration of natural and social sciences. This section synthesis features a series of contributions that examine frameworks for understanding local social contexts that are essential for socially responsible ocean governance."
"Introduction. Life at Water’s Edge","https://scispace.com/paper/introduction-life-at-waters-edge-2qix8b4g","2022","Book Chapter","","","10.1515/9781800731257-003","https://scispace.com/pdf/introduction-life-at-waters-edge-2qix8b4g.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses hydrosocial lens to analyze deltaic communities, linking water‑society co‑production, volatility, and multi‑scalar rhythms; touches on governance and urban edge issues but lacks explicit blue‑maritime, oceanic, and fully integrated framework.",""
"Policy Brief 1: The Ocean and the City","https://scispace.com/paper/policy-brief-1-the-ocean-and-the-city-1jvmeha8c9","2018","","","Elisabeth A. Holland
Viliamu Iese
Moleen M. Nand
Diana Hinge Salili
Morgan Wairiu
Linda B.K. Yuen
Natalie Harms
Anna Naupa
Ly Ngo
Omar Siddique","","","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses policy brief to link ocean health, urban expansion, and climate resilience in Pacific island cities; outlines governance challenges and sea‑dependent livelihoods, but lacks explicit posthuman theory and deep sociological framing.","Ocean Cities are where landscapes and seascapes meet, where human behaviour and urban development have a profound impact on marine health and climate change. Marine and coastal ecosystems are the largest carbon sink in the world and a vital source of livelihood, employment, nutrition and economic growth in cities and islands. Yet, the capacity of these ecosystems to balance our climate, protect our coastlines, and sustain human development is acutely threatened. Marine pollution and urban run-off, unsustainable coastal development and poor marine governance, rising sea levels, ocean warming and acidification endanger the health of our ocean and erode the very foundation Ocean Cities are built on.

For Pacific island settlements, the nexus between urban development, climate change and the ocean is of critical importance since most island communities are coastal, with some smaller island and atoll nations under five meters of elevation. Together with their regional partners, Ocean Cities of the Pacific islands can pioneer ocean-focused, climate resilient solutions for sustainable development.

Recognizing and understanding the interconnections and interdependent futures between cities and the ocean will catalyse integrated responses to increase resilience, protect ecosystems, and meet the challenges of rapidly urbanizing island societies.

This policy brief outlines the challenges of unplanned rapid urban expansion and deteriorating ocean health, urban resilience and climate impacts on Ocean Cities. Associated opportunities for ocean friendly climate responsive urban development in Pacific islands are discussed in policy briefs two and three of this series.

Even if global warming is limited to 2°C, sea levels could continue to rise by over 5 meters over the following centuries, posing a serious threat to low-lying Ocean Cities of the Pacific islands as most urban areas are located ≤5 meters above sea level."
"Pour une anthropologie politique de la mer","https://scispace.com/paper/pour-une-anthropologie-politique-de-la-mer-4otjesv2v0","2015","","","Camille Mazé
Olivier Ragueneau
Julien Weisbein
Emilie Mariat-Roy","","https://hal.archives-ouvertes.fr/hal-01366684/document","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses political anthropology to critique marine governance, links social and natural sciences, hints at agency of ocean and coastal societies, but lacks explicit posthuman, hydrosocial, urban, and fully integrated framework.","Cet article presente une demarche de recherche collaborative et innovante, consacree au renforcement et a l'institutionnalisation d'une anthropologie politique de la mer etroitement articulee aux sciences de la nature. Il dit d'abord ce que les sciences sociales du politique ont a apporter a la comprehension de la « gouvernance » de la mer, etablie en vue de sa « gestion durable ». Il presente ensuite la structure cooperative de recherche ApoliMer (Anthropologie politique de la mer), qui traite cette question en proposant de faire de la gestion des « socio-ecosystemes » marins et cotiers un demonstrateur des transformations contemporaines du politique. In fine, il laisse entrevoir la plus-value d'une articulation, entre les sciences humaines et sociales et les sciences de la nature pour produire une analyse critique des categories de pensee et d’action attachees a la «gestion systemique» de l’environnement."
"The Routledge handbook of ocean space","https://scispace.com/paper/the-routledge-handbook-of-ocean-space-1fbo4lsa","2022","Book","","Kimberley Peters
John F. Anderson
Andrew Davies
Philip E. Steinberg","10.4324/9781315111643","","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses extensive blue sociology and governance chapters; discusses coastal societies; integrates themes but lacks a unified posthuman‑hydrosocial‑urban framework; no specific blue urbanism focus.",""
"Green Out of the Blue, or How (Not) to Deal with Overfed Oceans: An Analytical Review of Coastal Eutrophication and Social Conflict","https://scispace.com/paper/green-out-of-the-blue-or-how-not-to-deal-with-overfed-oceans-3is91crozx","2020","Journal Article","","Alix Levain
Carole Barthelemy
Magalie Bourblanc
Jean-Marc Douguet
Agathe Euzen
Yves Souchon","10.3167/ARES.2020.110108","https://scispace.com/pdf/green-out-of-the-blue-or-how-not-to-deal-with-overfed-oceans-3is91crozx.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses critical ocean sociology to examine eutrophication governance, links water‑society co‑production, mentions ocean agency, cites community tensions, but lacks urban focus and full theoretical integration.","Despite causing harmful impacts on coastal communities and biodiversity for a few decades, eutrophication of marine systems has only recently gained public visibility. Representing a major land-based pollution, eutrophication is now considered the most striking symptom of intractable disruption of biogeochemical nutrient cycles at a global scale. The objective of this article is to analyze multi-scale dynamics of the problematization and regulation of ocean overfertilization. To do so, we build on a comprehensive literature review of previously published works that address the sociopolitical dimension of eutrophication issues and whose visibility we analyze with a critical perspective. We identify three stages that characterize the social history of marine eutrophication and how it was handled by public authorities. Although social mobilizations focus on emblematic sites, conflicts directly related to eutrophication symptoms spread in diverse hydro-social configurations. We conclude with a typology of four configurations associated with enduring nutrient pollution: noisy, overwhelming, silenced, and disturbing eutrophication."
"Climate change and oceanic responsibilities: Listening and dancing with Saltwater Country, Australia","https://scispace.com/paper/climate-change-and-oceanic-responsibilities-listening-and-2mc5qn3vjj","2024","Journal Article","","Lisa L. Hunter
Michele Lobo","10.56687/9781529235319-009","https://bristoluniversitypressdigital.com/downloadpdf/edcollchap-oa/book/9781529235319/ch005.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Indigenous oceanic responsibilities to illustrate blue sociology, treats the sea as an active agent, foregrounds coastal communities, hints at governance and co‑production, but lacks urban focus and a fully integrated analytical framework.",""
"Securing a Just Space for Small-Scale Fisheries in the Blue Economy","https://scispace.com/paper/securing-a-just-space-for-small-scale-fisheries-in-the-blue-3ohirqrq1r","2019","Journal Article","Frontiers in Marine Science","Philippa J. Cohen
Philippa J. Cohen
Edward H. Allison
Edward H. Allison
Neil L. Andrew
Joshua E. Cinner
Louisa Evans
Louisa Evans
Michael Fabinyi
Len R. Garces
Stephen J. Hall
Christina C. Hicks
Christina C. Hicks
Christina C. Hicks
Terry P. Hughes
Svein Jentoft
David J. Mills
David J. Mills
Rosalie Masu
Emmanuel K. Mbaru
Blake D. Ratner","10.3389/FMARS.2019.00171","https://scispace.com/pdf/securing-a-just-space-for-small-scale-fisheries-in-the-blue-3ohirqrq1r.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses small‑scale fisheries and marine spatial planning to critique Blue Economy governance, foregrounds coastal communities, but lacks posthuman theory, explicit hydrosocial framing, and urban linkages; integrates some but not all required lenses.","The vast developmental opportunities offered by the world's coasts and oceans have attracted the attention of governments, private enterprises, philanthropic organizations, and international conservation organizations. High-profile dialogue and policy decisions on the future of the ocean are informed largely by economic and ecological research. Key insights from the social sciences raise concerns for food and nutrition security, livelihoods and social justice, but these have yet to gain traction with investors and the policy discourse on transforming ocean governance. The largest group of ocean-users - women and men who service, fish and trade from small-scale fisheries (SSF) - argue that they have been marginalized from the dialogue between international environmental and economic actors that is determining strategies for the future of the ocean. Blue Economy or Blue Growth initiatives see the ocean as the new economic frontier and imply an alignment with social objectives and SSF concerns. Deeper analysis reveals fundamental differences in ideologies, priorities and approaches. We argue that SSF are being subtly and overtly squeezed for geographic, political and economic space by larger scale economic and environmental conservation interests, jeopardizing the substantial benefits SSF provide through the livelihoods of millions of women and men, for the food security of around four billion consumers globally, and in the developing world, as a key source of micro-nutrients and protein for over a billion low-income consumers. Here, we bring insights from social science and SSF to explore how ocean governance might better account for social dimensions of fisheries."
"Waterscape Epistemologies, Waves of Knowing and Translanguaging as Wet Ontology","https://scispace.com/paper/kSd21X0VtFIJ","","","","S Makoni
A Pennycook","","","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses wet ontology to treat water as active agent; links Indigenous Hawaiian practices to hydrosocial theory; foregrounds sea‑based community identities; lacks governance and urban analysis, but weaves several concepts together.",""
"The territories of governance: unpacking the ontologies and geophilosophies of fixed to flexible ocean management, and beyond","https://scispace.com/paper/the-territories-of-governance-unpacking-the-ontologies-and-3f2w7lmyof","2020","Journal Article","Philosophical Transactions of the Royal Society B","Kimberley Peters","10.1098/RSTB.2019.0458","https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0458","- **Relevance Score:** 50/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses ocean governance and posthuman ontologies to reconceptualize marine management; links sociological theory to agency of water, but lacks community case studies, urban focus, and full integration of all listed lenses.","This paper offers a conceptual contribution to understanding ocean governance and the management of spaces for the protection of marine biodiversity, organization of extractive industries, the arra..."
