Keyword,Modality,EnergyTerm,Performance,BinaryDefault,Notes
smell,Smell,,Culture,sniffed/unsmelled,
odor,Smell,,Culture,sniffed/unsmelled,
zapach,Smell,,Culture,sniffed/unsmelled,
aromat,Smell,,Culture,sniffed/unsmelled,
scent,Smell,,Culture,sniffed/unsmelled,
aroma,Smell,,Culture,sniffed/unsmelled,
vibrat,Touch,,Culture,tactile/non-tactile,
wibr,Touch,,Culture,tactile/non-tactile,
shake,Touch,,Culture,tactile/non-tactile,
tremor,Touch,,Culture,tactile/non-tactile,
movement,Touch,,Culture,tactile/non-tactile,
sway,Touch,,Culture,tactile/non-tactile,
kołysa,Touch,,Culture,tactile/non-tactile,
rough,Touch,,Culture,tactile/non-tactile,
smooth,Touch,,Culture,tactile/non-tactile,
hard,Touch,,Culture,tactile/non-tactile,
soft,Touch,,Culture,tactile/non-tactile,
pressure,Touch,,Culture,tactile/non-tactile,
resistance,Touch,,Culture,tactile/non-tactile,
texture,Touch,,Culture,tactile/non-tactile,
warm,Touch,,Culture,tactile/non-tactile,
cold,Touch,,Culture,tactile/non-tactile,
hot,Touch,,Culture,tactile/non-tactile,
cool,Touch,,Culture,tactile/non-tactile,
zimno,Touch,,Culture,tactile/non-tactile,
ciepło,Touch,,Culture,tactile/non-tactile,
push,Kinesthesia,,Culture,active/inactive,
pull,Kinesthesia,,Culture,active/inactive,
ciągn,Kinesthesia,,Culture,active/inactive,
lift,Kinesthesia,,Culture,active/inactive,
carry,Kinesthesia,,Culture,active/inactive,
walk,Kinesthesia,,Culture,active/inactive,
climb,Kinesthesia,,Culture,active/inactive,
balance,Kinesthesia,,Culture,active/inactive,
safety,Nociception,,Health & Safety,safe/threat,
bezpie,Nociception,,Culture,safe/threat,
danger,Nociception,,Health & Safety,safe/threat,
risk,Nociception,,Health & Safety,safe/threat,
threat,Nociception,,Culture,safe/threat,
secure,Nociception,,Culture,safe/threat,
hazard,Nociception,,Culture,safe/threat,
electromagnetic,Nociception,,Culture,safe/threat,
radiation,Nociception,,Culture,safe/threat,
exposure,Nociception,,Culture,safe/threat,
health,Nociception,,Health & Safety,safe/threat,
concern,Nociception,,Culture,safe/threat,
worry,Nociception,,Culture,safe/threat,
anxiety,Nociception,,Culture,safe/threat,
fear,Nociception,,Culture,safe/threat,
lęk,Nociception,,Culture,safe/threat,
stress,Nociception,,Culture,safe/threat,
comfort,Nociception,,Culture,safe/threat,
discomfort,Nociception,,Culture,safe/threat,
OPS,Vision,OPS,Culture,seen/unseen,
shore power,Vision,OPS,Culture,seen/unseen,
cold ironing,Vision,OPS,Culture,seen/unseen,
H2,Vision,H2,Culture,seen/unseen,
hydrogen,Vision,H2,Culture,seen/unseen,
electrolyser,Vision,H2,Technology (Infrastructure),seen/unseen,
LNG,Vision,LNG,Culture,seen/unseen,
methanol,Vision,,Culture,seen/unseen,
ammonia,Vision,,Culture,seen/unseen,
offshore wind,Vision,,Culture,seen/unseen,
renewable,Vision,,Culture,seen/unseen,
clean energy,Vision,,Culture,seen/unseen,
transition,Vision,,Culture,seen/unseen,
decarbonization,Vision,,Culture,seen/unseen,
emission,Vision,,Culture,seen/unseen,
carbon,Vision,,Culture,seen/unseen,
sustainability,Vision,,Culture,seen/unseen,
community,Interoception,,Culture,settled/unsettled,
resident,Interoception,,Culture,settled/unsettled,
worker,Interoception,,Culture,settled/unsettled,
union,Interoception,,Culture,settled/unsettled,
port authority,Interoception,,Culture,settled/unsettled,
government,Interoception,,Politics,settled/unsettled,
environmental,Interoception,,Culture,settled/unsettled,
tourism,Interoception,,Culture,settled/unsettled,
fishing,Interoception,,Culture,settled/unsettled,
shipping,Interoception,,Culture,settled/unsettled,
economic,Interoception,,Economy,settled/unsettled,
development,Interoception,,Economy,settled/unsettled,
consultation,Interoception,,Politics,settled/unsettled,
participation,Interoception,,Culture,settled/unsettled,
engagement,Interoception,,Culture,settled/unsettled,
opposition,Interoception,,Culture,settled/unsettled,
