Dimension,Blue Biotech,Living Resources (Fisheries/Aqua),R&I (Research & Innovation),Renewable Energy (Wind/Ocean),Non-Living Resources (Mining),Desalination,Maritime Transport,Port Activities,Ship Repair & Shipbuilding,Coastal Tourism,Maritime Defence,Infrastructure & Robotics
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Sectors: Coastal Tourism, Maritime Defence, Infrastructure & Robotics",,,,,,,,,,,,
,,,,,,,,,,,,
Dimension,Coastal Tourism,Maritime Defence,Infrastructure & Robotics,,,,,,,,,
A. Understanding,Policy: local coastal tourism strategy; visa/mobility governance; marine spatial planning (MSP) + integrated coastal zone management (ICZM) for land–sea interactions (LSI)<br>Sociology: tourism mobilities; coastal community livelihoods; seasonal/service labour; place-making & heritage; social carrying capacity,Policy: EUROSUR situational awareness; CISE cross-authority maritime surveillance information-sharing; integrated border management<br>Sociology: securitization; humanitarian borderwork/search & rescue; maritime migration governance; civil-military relations; accountability/legitimacy,Policy: technical standards for offshore/subsea systems; permitting & safety cases; seabed/subsea mapping for infrastructure siting<br>Sociology: socio-technical systems; human-automation interaction; deskilling/reskilling; responsibility & auditability in autonomous systems; offshore work cultures,,,,,,,,,
A. Competences,Policy: stewardship communication; tourism ethics and visitor management<br>Sociology: social carrying capacity; resident-visitor relations; cultural heritage stewardship; labour precarity in service work,Policy: safety and risk communication; data-sharing and legal compliance for maritime awareness<br>Sociology: ethics of surveillance; human rights and proportionality; organisational culture in security agencies; civil-military coordination norms,Policy: communicating robotic value/risks; AI governance and legal compliance<br>Sociology: technology legitimacy; accountability for algorithmic decisions; trust in automation; professional identity shifts for operators,,,,,,,,,
B. Digital,Policy: VR/AR interpretation tools; digital marketing; booking and payment cybersecurity<br>Sociology: platform labour and surveillance; data privacy; digital inclusion of local SMEs; reputation risks,Policy: surveillance ICT (incl. drones); maritime domain awareness; CISE-linked cyber protection<br>Sociology: surveillance ethics; algorithmic bias; accountability of automated detection; inter-agency trust and data-sharing culture,Policy: robot/AUV control; subsea telemetry; operational data pipelines<br>Sociology: human-in-the-loop design; safety cases for autonomy; operator training regimes; cyber-physical risk governance,,,,,,,,,
C. Sustainability,Policy: eco-tourism and carrying capacity management; water/waste reduction and circular services<br>Sociology: social-ecological resilience; overtourism conflict; community wellbeing indicators; cultural ecosystem services,Policy: greening defence mobility and logistics; dual-use infrastructure; operational energy efficiency<br>Sociology: militarisation vs climate adaptation trade-offs; civil-military coordination; legitimacy/perception of 'green defence',"Policy: non-toxic materials and pollution prevention; low-energy operations; life-cycle assessment<br>Sociology: risk governance for offshore operations; OHS in hazardous environments; more-than-human impacts (noise, seabed disturbance)",,,,,,,,,
D. Business,Policy: experience-economy niches ('new luxury'); local job creation and destination value chains<br>Sociology: labour segmentation and precarity; community benefit distribution; cultural commodification; governance of 'place brands',Policy: defence R&D and budgets (incl. EU funding instruments); geopolitical alliances and procurement<br>Sociology: military-industrial complex; civil-military governance; legitimacy and oversight; impacts on local port economies,Policy: autonomous systems business models; service ecosystems; standards compliance as market access<br>Sociology: innovation diffusion; platform power; professional communities; regulation as socio-technical boundary,,,,,,,,,
Cluster 2: Hard economy layer,,,,,,,,,,,,
"Sectors: Renewable Energy, Non-Living Resources, Desalination",,,,,,,,,,,,
,,,,,,,,,,,,
Dimension,Renewable Energy (Wind/Ocean),Non-Living Resources (Mining),Desalination,,,,,,,,,
A. Understanding,Policy: marine renewable energy policy; MSP spatial allocation/de-confliction; grid integration planning<br>Sociology: energy justice; social licence to operate; sea-space conflicts & co-use; community benefit-sharing; just transition in coastal regions,Policy: mineral licensing; (where applicable) International Seabed Authority 'Mining Code'; geological assessment incl. carbon sequestration (CCS) considerations<br>Sociology: extractivism & political ecology; uncertainty and risk governance; global-commons justice; distributional impacts; rights of affected communities,Policy: water governance & permitting; brine discharge rules; water-energy nexus planning within coastal catchments<br>Sociology: water justice/affordability; techno-politics of infrastructure; public acceptance & risk perception; equity impacts on coastal communities,,,,,,,,,
A. Competences,Policy: public communication of decarbonization benefits; MSP conflict-resolution and spatial de-confliction<br>Sociology: social licence processes; procedural justice in siting; compensations/community benefits; NIMBY/NIABY dynamics,Policy: resource-limit literacy; thresholds/precaution in extraction governance<br>Sociology: contestation around 'acceptable risk'; legitimacy of expertise; distributive justice; social movements and moratoria,Policy: communicating freshwater value; coastal buffer/setback planning for intake/outfall infrastructure<br>Sociology: public acceptance; perceptions of 'manufactured water'; equity in tariff design; community concerns about brine impacts,,,,,,,,,
B. Digital,Policy: SCADA and load analytics; metocean and weather models; predictive maintenance<br>Sociology: digitalisation of offshore work; remote monitoring and skill shifts; cybersecurity culture; contractor governance,Policy: remote sensing; geological mapping; digital environmental monitoring<br>Sociology: data politics and transparency; 'unknown unknowns' framing; community trust in monitoring; contested expertise,Policy: automated operations (process control); efficiency and leakage data; cyber-secure OT/IT integration<br>Sociology: socio-technical lock-in; labour deskilling; cybersecurity of critical water infrastructure; transparency in performance claims,,,,,,,,,
C. Sustainability,Policy: offshore wind portfolio mix; retrofits; multi-use co-location; ecosystem-based planning<br>Sociology: just transition; distribution of costs/benefits; community acceptance; governance of cumulative impacts,Policy: carbon sink protection and CCS governance; circularity and by-product/brine valorisation where relevant<br>Sociology: environmental justice; potential irreversibility and precaution; conflict over scientific uncertainty; legitimacy of offsets,"Policy: water reuse; brine reuse/valorisation; energy-efficiency and pollution-prevention requirements<br>Sociology: water justice; equity impacts of reuse schemes; community risk perception; governance of externalities (brine, energy)",,,,,,,,,
D. Business,Policy: upstream input logistics; industrial clustering; technological leadership strategies<br>Sociology: local content and employment debates; distribution of rents; social licence as 'market condition'; governance of supply chains,Policy: mining support services; strategic metals and industrial policy<br>Sociology: extractive political economy; boom-bust community risks; contested 'critical minerals' narratives; accountability for externalities,Policy: seawater reverse osmosis (SWRO) reference cases; efficiency and 'smaller footprint' innovation<br>Sociology: infrastructure finance and affordability; public-private governance; inequality in service provision; legitimacy of techno-fixes,,,,,,,,,
Cluster 3: Blue spine layer,,,,,,,,,,,,
"Sectors: Maritime Transport, Port Activities, Ship Repair & Shipbuilding",,,,,,,,,,,,
,,,,,,,,,,,,
Dimension,Maritime Transport,Port Activities,Ship Repair & Shipbuilding,,,,,,,,,
A. Understanding,Policy: IMO convention framework; EU decarbonization rules incl. FuelEU Maritime; routeing/efficiency governance<br>Sociology: global labour regimes (flags of convenience); shipboard social order; fatigue and safety culture; automation effects on seamanship; welfare and repatriation risks,Policy: port governance and port-city policy; hinterland connectivity planning; land-use coordination at the port-city interface<br>Sociology: port-city interface conflicts; dock labour relations & casualization; environmental justice (air/noise); stakeholder governance; security vs openness,Policy: ship recycling and hazardous-materials rules (Hong Kong Convention and related regimes); green retrofit standards; compliance documentation<br>Sociology: occupational health and safety; subcontracting and precarious work; shipbreaking community impacts; 'just transition' in industrial regions,,,,,,,,,
A. Competences,Policy: safety communication and reporting; EU ETS/FuelEU compliance literacy<br>Sociology: safety culture and near-miss reporting; fatigue and psychosocial risks; labour-management relations; multi-national crew communication,Policy: green port communication; waste-oil and pollution-prevention compliance<br>Sociology: port environmental justice narratives; stakeholder engagement with residents; trust and transparency in port authorities,Policy: life-cycle responsibility; participation in Sustainable Blue Economy Partnership agendas where relevant<br>Sociology: workplace safety culture; skill reproduction in yards; community impacts of ship recycling; governance of subcontracting,,,,,,,,,
B. Digital,Policy: e-navigation; decision support and (future) MASS/autonomy; IT route optimisation<br>Sociology: human-automation interaction; responsibility in semi-autonomous navigation; cyber risk and safety culture; labour displacement/reskilling,Policy: smart logistics; port community systems (PCS) for data exchange; interoperability and information-sharing<br>Sociology: platform governance in port ecosystems; data power asymmetries; labour monitoring; inter-organisational trust,Policy: digital twin in design/retrofit; 3D CAD; configuration management and documentation<br>Sociology: skill regimes and professionalisation; knowledge transfer across subcontractors; cyber-risks in supply chains; human factors in design,,,,,,,,,
C. Sustainability,Policy: fuel transition (e-fuels/ammonia/methanol pathways); underwater noise reduction and biodiversity safeguards<br>Sociology: climate transition impacts on seafarers; safety and training during fuel shifts; community impacts in port calls; 'green' compliance work,Policy: sea-level rise adaptation; zero-pollution port programmes; climate-risk assessments<br>Sociology: community resilience; environmental justice and exposure; stakeholder participation; labour impacts of green port re-organisation,Policy: circular ship dismantling; green shipyards and hazardous-waste control; retrofit capacity<br>Sociology: shipbreaking labour and environmental justice; OHS for toxic materials; skill transitions to green retrofit work,,,,,,,,,
D. Business,Policy: global trade nodes; carbon pricing and emissions trading exposure (EU ETS etc.)<br>Sociology: labour market restructuring; cost-cutting and welfare risks; compliance work burdens; power asymmetries in global supply chains,Policy: gateway trade value; accelerators/innovation districts; port competitiveness strategies<br>Sociology: port-city growth coalitions; labour politics; community opposition and negotiation; distribution of external costs,Policy: supply chain integration; green technology markets (retrofit/efficiency); compliance as competitive advantage<br>Sociology: industrial relations in yards; subcontracting governance; regional development; 'just transition' for shipyard communities,,,,,,,,,
Cluster 1: Bio-economy & knowledge layer,,,,,,,,,,,,
"Sectors: Blue Biotech, Living Resources, R&I",,,,,,,,,,,,
,,,,,,,,,,,,
Dimension,Blue Biotech,Living Resources (Fisheries/Aqua),R&I (Research & Innovation),,,,,,,,,
A. Understanding,Policy: Nagoya Protocol access & benefit-sharing; bioresource permitting and compliance; bioethics governance<br>Sociology: bioprospecting ethics; benefit-sharing with provider communities; governance of traditional knowledge; commodification debates,Policy: fisheries management rules (quotas/catch controls); monitoring-control-surveillance (MCS) frameworks; licensing<br>Sociology: commons governance; fisher compliance trust; small-scale vs industrial power asymmetries; livelihood security; gendered division of labour,Policy: open science regimes (FAIR data); science-policy interface for blue governance; research ethics and integrity<br>Sociology: knowledge co-production; participatory governance; boundary work between science and policy; responsible research and innovation,,,,,,,,,
A. Competences,Policy: bio-value communication; systems thinking about bioprospecting linkages<br>Sociology: ABS ethics; recognition of local/Indigenous knowledge; biopiracy concerns; legitimacy of 'blue bioeconomy' narratives,Policy: safe seafood communication; ecosystem literacy (stock-predator links)<br>Sociology: food-system trust; community-based stewardship norms; conflict over resource access; market power and certification effects,Policy: blue careers communication; interdisciplinary systems thinking<br>Sociology: epistemic pluralism; transdisciplinarity; reflexivity and ethics in marine social sciences; capacity building,,,,,,,,,
B. Digital,Policy: genomics/bioinformatics toolchains; bio-data governance and security; data standards<br>Sociology: data ownership and benefit-sharing; ethics of genetic data; governance of traditional knowledge digitisation,Policy: vessel monitoring system (VMS); e-logbooks; ecosystem models for management<br>Sociology: compliance cultures; privacy and legitimacy of monitoring; co-management data sharing; inequality in digital capacity,Policy: modelling/simulation platforms; EMODnet access; open repositories and reproducible workflows<br>Sociology: open science norms; reproducibility and trust; citizen science and data ethics; epistemic justice in data infrastructures,,,,,,,,,
C. Sustainability,Policy: bio-active product stewardship; bio-refinery and 'zero-waste' valorisation<br>Sociology: bioeconomy narratives and legitimacy; benefit-sharing; labour conditions in biotech value chains; debates on 'nature-based' solutions,Policy: selective fishing gear; stock preservation and ecosystem-based management<br>Sociology: community stewardship norms; livelihood vulnerability to climate shocks; equity in access restrictions; gendered adaptation strategies,Policy: biodiversity restoration R&I; circular innovation portfolios; monitoring and evaluation indicators<br>Sociology: co-production for restoration; socio-ecological experimentation; governance of innovation risks; long-term stewardship institutions,,,,,,,,,
D. Business,Policy: pharma/food value chains; participation in Blue Bio economy networks and forums<br>Sociology: benefit sharing vs enclosure; IP/patent politics; bio-regional development; ethical governance of bioprospecting,Policy: processing chain value; producer networks and market organisation<br>Sociology: value-chain power (processors/retail); labour conditions; community dependence; governance of certification and traceability,Policy: Horizon Europe and related funding; joint R&D strategy and partnerships<br>Sociology: political economy of research agendas; knowledge brokerage; inclusivity in innovation systems; evaluation and impact culture,,,,,,,,,
