title,authors,year,doi,source_id,provider,language,journal,url,source_query,retrieval_timestamp,licence_note
"Integrating Ethics, Innovation, and Inclusivity in Maritime Governance",R. Vettriselvan,2025,10.4018/979-8-3373-1777-9.ch001,crossref:10.4018/979-8-3373-1777-9.ch001,Crossref,,Inclusive Pathways for Marine Resource Stewardship and Global Prosperity,https://doi.org/10.4018/979-8-3373-1777-9.ch001,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427549+00:00,Crossref open metadata
Mapping the governance landscape of the blue bioeconomy: A systems approach to understanding innovation barriers and enablers,"Björn Persson, Niklas Fernqvist, Mari Wøien Meijer, Daniel Bengtsson, Daniel Mattisson",2025,10.1016/j.ocecoaman.2025.107899,crossref:10.1016/j.ocecoaman.2025.107899,Crossref,,Ocean &amp; Coastal Management,https://doi.org/10.1016/j.ocecoaman.2025.107899,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427578+00:00,Crossref open metadata
Marine Microbiomes and Their Endless Potential for the Bioeconomy,"Ashwini Kumar, Puneet Raina, Rajan Bhandari, Baljinder Singh",2025,10.1201/9781003509530-8,crossref:10.1201/9781003509530-8,Crossref,,Marine Microbiomes,https://doi.org/10.1201/9781003509530-8,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427556+00:00,Crossref open metadata
Sustainable blue biomass production for a circular bioeconomy,C Lee,2025,10.1016/j.nbt.2024.08.006,crossref:10.1016/j.nbt.2024.08.006,Crossref,,New Biotechnology,https://doi.org/10.1016/j.nbt.2024.08.006,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427429+00:00,Crossref open metadata
Applications of Marine Bioresources,KKA Sanjeewa,2024,10.1201/9781003477365-7,crossref:10.1201/9781003477365-7,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-7,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427421+00:00,Crossref open metadata
Aquatic Resources for Blue Bioeconomy Prospecting,"Rakesh Das, Sandip Mondal",2024,10.1007/978-3-031-68911-6_1,crossref:10.1007/978-3-031-68911-6_1,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_1,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427312+00:00,Crossref open metadata
Blue Bioeconomy,Unknown,2024,10.1039/9781837675654,crossref:10.1039/9781837675654,Crossref,,,https://doi.org/10.1039/9781837675654,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427515+00:00,Crossref open metadata
Blue Bioeconomy and Agricultural Innovation,"Manish Kumar Gautam, Sandip Mondal",2024,10.1007/978-3-031-68911-6_6,crossref:10.1007/978-3-031-68911-6_6,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_6,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427293+00:00,Crossref open metadata
Blue Bioeconomy and Biomedical Innovation,"Mustapha Abdulsalam, Innocent Ojeba Musa, Miracle Uwa Livinus, Shehu-Alimi Elelu, Ganiyat Omotayo Ibrahim, Olaitan Lateefat Salami, Auwal Sagir Muhammad, Sanjoy Kumar Pal",2024,10.1007/978-3-031-68911-6_8,crossref:10.1007/978-3-031-68911-6_8,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_8,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427383+00:00,Crossref open metadata
Blue Bioeconomy and Industrial Innovation,Olusola Tosin Lawal,2024,10.1007/978-3-031-68911-6_7,crossref:10.1007/978-3-031-68911-6_7,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_7,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427257+00:00,Crossref open metadata
Blue Biomass Production for Renewable Energy,"K. Ukoba, M. I. Adeoba, Samuel Fatoba, T. C. Jen",2024,10.1007/978-3-031-68911-6_14,crossref:10.1007/978-3-031-68911-6_14,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_14,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427498+00:00,Crossref open metadata
"Blue Carbon: Roles in Climate Change and Energy Generation, and Effects on Coastal Communities","Mariam I. Adeoba, Kingsley Ukoba, Fadekemi Osaye",2024,10.1007/978-3-031-68911-6_16,crossref:10.1007/978-3-031-68911-6_16,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_16,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427534+00:00,Crossref open metadata
Circular Economy Principles Related to the Blue Bioeconomy,KKA Sanjeewa,2024,10.1201/9781003477365-8,crossref:10.1201/9781003477365-8,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-8,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427318+00:00,Crossref open metadata
Contents,Unknown,2024,10.1039/9781837675654-fp009,crossref:10.1039/9781837675654-fp009,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp009,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427455+00:00,Crossref open metadata
Disclaimer,Unknown,2024,10.1039/9781837675654-fp008,crossref:10.1039/9781837675654-fp008,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp008,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427463+00:00,Crossref open metadata
Exploring the Blue Bioeconomy,Sanjeewa KKA,2024,10.1201/9781003477365,crossref:10.1201/9781003477365,Crossref,,,https://doi.org/10.1201/9781003477365,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427405+00:00,Crossref open metadata
Front Matter,Unknown,2024,10.1039/9781837675654-fp001,crossref:10.1039/9781837675654-fp001,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp001,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427478+00:00,Crossref open metadata
Generation of Renewable Energy by Blue Resources for a Clean Environment,"Mariam I. Adeoba, Thanyani Pandelani, Harry Ngwagwa, Tracy Masebe",2024,10.1007/978-3-031-68911-6_17,crossref:10.1007/978-3-031-68911-6_17,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_17,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427530+00:00,Crossref open metadata
Global Regulations of Blue Bioeconomy: Opportunities and Challenges,"Stella Suanu Leh-Togi Zobeashia, Amoge Chidinma Ogu, Hilda Atabo Uyo, Lovina Chinyere Ogbu, Itoroabasi Joseph Okon",2024,10.1007/978-3-031-68911-6_2,crossref:10.1007/978-3-031-68911-6_2,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_2,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427460+00:00,Crossref open metadata
Major Sectors of Blue Bioeconomy,KKA Sanjeewa,2024,10.1201/9781003477365-1,crossref:10.1201/9781003477365-1,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-1,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427300+00:00,Crossref open metadata
Marine Bacteria and Cyanobacteria,KKA Sanjeewa,2024,10.1201/9781003477365-3,crossref:10.1201/9781003477365-3,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-3,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427417+00:00,Crossref open metadata
Marine Bioprospecting for Sustainable Blue-bioeconomy,Unknown,2024,10.1007/978-3-031-68911-6,crossref:10.1007/978-3-031-68911-6,Crossref,,,https://doi.org/10.1007/978-3-031-68911-6,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427505+00:00,Crossref open metadata
Marine Fungi,KKA Sanjeewa,2024,10.1201/9781003477365-4,crossref:10.1201/9781003477365-4,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-4,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427389+00:00,Crossref open metadata
Marine Genetic Resources of Blue Economy,"Miracle Uwa Livinus, Sunday Zeal Bala, Mustapha Abdulsalam, Innocent Ojeba Musa, Madinat Hassan, Priscilla Kini",2024,10.1007/978-3-031-68911-6_9,crossref:10.1007/978-3-031-68911-6_9,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_9,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427474+00:00,Crossref open metadata
Marine Greens Prospecting: Untapped Blue Resources,"Satyanarayana Swamy Vyshnava, K. Swetha, Muralidhara Rao Dowlathabad",2024,10.1007/978-3-031-68911-6_15,crossref:10.1007/978-3-031-68911-6_15,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_15,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427413+00:00,Crossref open metadata
Marine Macroalgae: Sustainable Practices and Environmental Impact,"Nour Sh. El-Gendy, Hussein N. Nassar",2024,10.1039/9781837675654-00183,crossref:10.1039/9781837675654-00183,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-00183,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427526+00:00,Crossref open metadata
Marine Microalgae,KKA Sanjeewa,2024,10.1201/9781003477365-5,crossref:10.1201/9781003477365-5,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-5,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427395+00:00,Crossref open metadata
Marine Nematodes,KKA Sanjeewa,2024,10.1201/9781003477365-6,crossref:10.1201/9781003477365-6,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-6,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427400+00:00,Crossref open metadata
Preface,Unknown,2024,10.1039/9781837675654-fp005,crossref:10.1039/9781837675654-fp005,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-fp005,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427440+00:00,Crossref open metadata
Prospects of Microbial Enzymes in Marine Blue Economy,"Hafida Baoune, Mounia Arab, Waffa Bouafia, Fatma Zohra Saadane, Kaouther Boudiaf",2024,10.1007/978-3-031-68911-6_13,crossref:10.1007/978-3-031-68911-6_13,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_13,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427444+00:00,Crossref open metadata
Remediation of Marine Pollutants for Biorefinery Innovations,"Katleho Keneuwe Khoaele, Ipoteng Justice Mphahlele, Oluwatoyin Joseph Gbadeyan, Bruce Sithole, Viren Chunilall",2024,10.1007/978-3-031-68911-6_19,crossref:10.1007/978-3-031-68911-6_19,Crossref,,Marine Bioprospecting for Sustainable Blue-bioeconomy,https://doi.org/10.1007/978-3-031-68911-6_19,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427538+00:00,Crossref open metadata
Seaweeds,KKA Sanjeewa,2024,10.1201/9781003477365-2,crossref:10.1201/9781003477365-2,Crossref,,Exploring the Blue Bioeconomy,https://doi.org/10.1201/9781003477365-2,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427436+00:00,Crossref open metadata
Subject Index,Unknown,2024,10.1039/9781837675654-00220,crossref:10.1039/9781837675654-00220,Crossref,,Blue Bioeconomy,https://doi.org/10.1039/9781837675654-00220,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427481+00:00,Crossref open metadata
Alliance-driven governance and the relationship of firms to territories in the bioeconomy,Nicolas Befort,2022,10.4324/9781003103011-5,crossref:10.4324/9781003103011-5,Crossref,,The Bioeconomy,https://doi.org/10.4324/9781003103011-5,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427487+00:00,Crossref open metadata
Transnational Governance Frameworks for Sustainable  Innovation: The Case Of The Blue Bioeconomy In The  Mediterranean,"David Fernández-Guerrero, Riccardo Palazzolo-Henkes, Martin Federico Alba, Saray Ramírez-Rodríguez, Lourdes Reig-Puig",2022,10.7201/earn.2022.02.04,crossref:10.7201/earn.2022.02.04,Crossref,,Economía Agraria y Recursos Naturales,https://doi.org/10.7201/earn.2022.02.04,marine biotechnology blue bioeconomy innovation governance,2026-07-24T11:50:19.427545+00:00,Crossref open metadata
Ocean justice? Marine genetic resources and monetary benefit-sharing under the BBNJ Agreement,"Niels Krabbe, Tanya Wagenaar",2026,10.1016/j.marpol.2026.107150,crossref:10.1016/j.marpol.2026.107150,Crossref,,Marine Policy,https://doi.org/10.1016/j.marpol.2026.107150,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537448+00:00,Crossref open metadata
Benefit sharing of marine genetic resources and intellectual property protection under the BBNJ agreement,"Qing Xu, Yongfeng Jin",2025,10.3389/fmars.2025.1631043,crossref:10.3389/fmars.2025.1631043,Crossref,,Frontiers in Marine Science,https://doi.org/10.3389/fmars.2025.1631043,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537490+00:00,Crossref open metadata
"Marine Genetic Resources under BBNJ Agreement: interactions with TRIPS, CBD and GRATK and the challenges for effective implementation of benefit sharing.",Paulo Henrique Reis de Oliveira,2025,10.5194/oos2025-922,crossref:10.5194/oos2025-922,Crossref,,,https://doi.org/10.5194/oos2025-922,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537503+00:00,Crossref open metadata
Unlocking the global commons: legal analysis of benefit-sharing for marine genetic resources in the BBNJ agreement,"Steel Rometius, Wei Wang",2025,10.3389/fmars.2025.1541331,crossref:10.3389/fmars.2025.1541331,Crossref,,Frontiers in Marine Science,https://doi.org/10.3389/fmars.2025.1541331,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537563+00:00,Crossref open metadata
Access and benefit-sharing procedures for genetic resources in aquaculture countries,"Fran Humphries, Charles Lawson, John A.H. Benzie, Clare Morrison",2024,10.4337/9781800373990.00012,crossref:10.4337/9781800373990.00012,Crossref,,Access and Benefit-sharing in Global Aquaculture,https://doi.org/10.4337/9781800373990.00012,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537535+00:00,Crossref open metadata
BBNJ Agreement: A New Infrastructure to Foster Benefit Sharing of Marine Genetic Resources,"Hiroko Muraki Gottlieb, Jeff Ardron, Abbe E.L. Brown",2024,10.2139/ssrn.4895602,crossref:10.2139/ssrn.4895602,Crossref,,,https://doi.org/10.2139/ssrn.4895602,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537471+00:00,Crossref open metadata
Benefit-Sharing and Bioprospecting for Cosmeceuticals,"Pravi Prasad, Sreejith Parameswara Panicker",2024,10.1007/978-3-031-71674-4_9,crossref:10.1007/978-3-031-71674-4_9,Crossref,,Biodiversity and Business,https://doi.org/10.1007/978-3-031-71674-4_9,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537550+00:00,Crossref open metadata
Bioprospecting from Medicinal Plants and Benefit Sharing,"Nilayangode Preetha, V. Balakrishnan, George Thomas",2024,10.1007/978-3-031-71674-4_15,crossref:10.1007/978-3-031-71674-4_15,Crossref,,Biodiversity and Business,https://doi.org/10.1007/978-3-031-71674-4_15,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537577+00:00,Crossref open metadata
"Digital Sequence Information: Possible Implications for the Law on Access to Genetic Resources and Benefit Sharing from their Utilisation, with Special Emphasis on Marine Genetic Resources in Areas Beyond National Jurisdiction",Christian Prip,2024,10.5040/9781509968305.ch-005,crossref:10.5040/9781509968305.ch-005,Crossref,,"Marine Bioprospecting, Biodiversity and Novel Uses of Ocean Resources",https://doi.org/10.5040/9781509968305.ch-005,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537425+00:00,Crossref open metadata
Inter-State Benefit-Sharing from Access to Genetic Resources,Elisa Morgera,2024,10.1093/oso/9780198862130.003.0002,crossref:10.1093/oso/9780198862130.003.0002,Crossref,,Fair and Equitable Benefit-sharing in International Law,https://doi.org/10.1093/oso/9780198862130.003.0002,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537514+00:00,Crossref open metadata
Marine Genetic Resources in Areas Beyond National Jurisdiction: Access and Benefit-Sharing,Kexin Zhu,2023,10.56397/slj.2023.09.05,crossref:10.56397/slj.2023.09.05,Crossref,,Studies in Law and Justice,https://doi.org/10.56397/slj.2023.09.05,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537520+00:00,Crossref open metadata
Access and Benefit Sharing and Biocultural Protocols in the Pacific,"Daniel Robinson, Margaret Raven",2022,10.4324/9781003301998-16,crossref:10.4324/9781003301998-16,Crossref,,"Access and Benefit Sharing of Genetic Resources, Information and Traditional Knowledge",https://doi.org/10.4324/9781003301998-16,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537581+00:00,Crossref open metadata
Access and Benefit Sharing and Biodiversity Conservation,"Rachel Wynberg, Sarah Laird",2022,10.4324/9781003301998-6,crossref:10.4324/9781003301998-6,Crossref,,"Access and Benefit Sharing of Genetic Resources, Information and Traditional Knowledge",https://doi.org/10.4324/9781003301998-6,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537531+00:00,Crossref open metadata
Access and Benefit Sharing and Digital Sequence Information,"Christine Frison, Elsa Tsioumani",2022,10.4324/9781003301998-11,crossref:10.4324/9781003301998-11,Crossref,,"Access and Benefit Sharing of Genetic Resources, Information and Traditional Knowledge",https://doi.org/10.4324/9781003301998-11,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537569+00:00,Crossref open metadata
Access and Benefit Sharing and Digital Sequence Information in Africa,"Titilayo Adebola, Daniele Manzella",2022,10.4324/9781003301998-13,crossref:10.4324/9781003301998-13,Crossref,,"Access and Benefit Sharing of Genetic Resources, Information and Traditional Knowledge",https://doi.org/10.4324/9781003301998-13,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537591+00:00,Crossref open metadata
The CIESM Charter on Access and Benefit – Sharing of Marine Genetic Resources,Unknown,2022,10.1007/978-3-031-08206-1_180010,crossref:10.1007/978-3-031-08206-1_180010,Crossref,,Encyclopedia of Seas,https://doi.org/10.1007/978-3-031-08206-1_180010,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537556+00:00,Crossref open metadata
"Marine Genetic Resources: a Practical Legal Approach to Stimulate Research, Conservation and Benefit Sharing",Morten Walløe Tvedt,2020,10.1163/9789004391567_013,crossref:10.1163/9789004391567_013,Crossref,,The Law of the Seabed,https://doi.org/10.1163/9789004391567_013,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537546+00:00,Crossref open metadata
Regulating Access to Genetic Resources and Benefit-Sharing: the Legal Aspects,Kerry ten Kate,2019,10.4324/9780429341540-2,crossref:10.4324/9780429341540-2,Crossref,,The Commercial use of Biodiversity,https://doi.org/10.4324/9780429341540-2,bioprospecting marine genetic resources benefit sharing,2026-07-24T11:50:21.537455+00:00,Crossref open metadata
Bioremediation of marine microplastics: Emerging technologies and challenges,"Niti Chawla, Lalita Gupta, Sanjeev Kumar",2026,10.1016/b978-0-443-33182-4.00011-5,crossref:10.1016/b978-0-443-33182-4.00011-5,Crossref,,Bioremediation as a Greener Solution for Marine Plastic Pollutants,https://doi.org/10.1016/b978-0-443-33182-4.00011-5,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245928+00:00,Crossref open metadata
Marine ecosystem restoration through different bioremediation tools,Sweta Sinha,2026,10.1016/b978-0-443-33182-4.00021-8,crossref:10.1016/b978-0-443-33182-4.00021-8,Crossref,,Bioremediation as a Greener Solution for Marine Plastic Pollutants,https://doi.org/10.1016/b978-0-443-33182-4.00021-8,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245801+00:00,Crossref open metadata
Unknown Title,Unknown,2026,10.5530/gjpb.2025.4,crossref:10.5530/gjpb.2025.4,Crossref,,German Journal of Pharmaceuticals and Biomaterials,https://doi.org/10.5530/gjpb.2025.4,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245914+00:00,Crossref open metadata
Biodegradable Polymers: Advances in Sustainable Biomaterials,"Satish Mandlik, Deepa Mandlik, Amarjitsing Rajput",2025,10.1007/978-3-031-91790-5_2,crossref:10.1007/978-3-031-91790-5_2,Crossref,,"Biomaterials, Bioengineering and Sustainability",https://doi.org/10.1007/978-3-031-91790-5_2,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245789+00:00,Crossref open metadata
Biomimetic Materials: Nature-Inspired Solutions for Sustainability,"Mohammad Intakhab Alam, Md Sajid Ali, Nawazish Alam, Md. Faiyazuddin, Sarfaraz Ahmad",2025,10.1007/978-3-031-91790-5_7,crossref:10.1007/978-3-031-91790-5_7,Crossref,,"Biomaterials, Bioengineering and Sustainability",https://doi.org/10.1007/978-3-031-91790-5_7,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245970+00:00,Crossref open metadata
Design and Processing of Green Materials,Unknown,2025,10.1007/978-3-031-91790-5,crossref:10.1007/978-3-031-91790-5,Crossref,,"Biomaterials, Bioengineering and Sustainability",https://doi.org/10.1007/978-3-031-91790-5,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245793+00:00,Crossref open metadata
From Sea to Therapy: Marine Biomaterials for Drug Delivery and Wound Healing,"Mansi Chilwant, Valentina Paganini, Mariacristina Di Gangi, Sofia Gisella Brignone, Patrizia Chetoni, Susi Burgalassi, Daniela Monti, Silvia Tampucci",2025,10.3390/ph18081093,crossref:10.3390/ph18081093,Crossref,,Pharmaceuticals,https://doi.org/10.3390/ph18081093,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245766+00:00,Crossref open metadata
Green Biomaterials: Challenges and Opportunities,"Bindiya Chauhan, Bhuvnesh Kumar Singh, Anil Kumar, Neelanchal Trivedi, Md. Faiyazuddin, Thomas J. Webster",2025,10.1007/978-3-031-91790-5_1,crossref:10.1007/978-3-031-91790-5_1,Crossref,,"Biomaterials, Bioengineering and Sustainability",https://doi.org/10.1007/978-3-031-91790-5_1,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245872+00:00,Crossref open metadata
Green Chemistry Approaches in Biomaterials Synthesis,"Priya Jain, Juhi Bhadoriya, Sheetal Mane, Kuldeep Vinchurkar, Meghraj Vivekanand Suryawanshi",2025,10.1007/978-3-031-91790-5_3,crossref:10.1007/978-3-031-91790-5_3,Crossref,,"Biomaterials, Bioengineering and Sustainability",https://doi.org/10.1007/978-3-031-91790-5_3,marine biomaterials pharmaceuticals bioremediation sustainability,2026-07-24T11:50:24.245823+00:00,Crossref open metadata
