sector,provider,query,record_count
Desalination,scopus,desalination brine management environmental impact governance,4
Desalination,crossref,desalination water energy nexus sustainability,30
Desalination,scopus,desalination water energy nexus sustainability,25
Desalination,crossref,desalination hydrosocial water justice governance,31
Desalination,scopus,desalination hydrosocial water justice governance,0
Desalination,crossref,desalination workforce skills competences training professional development,35
Desalination,scopus,desalination workforce skills competences training professional development,0
Desalination,crossref,desalination operator education learning outcomes curriculum qualification,24
Desalination,scopus,desalination operator education learning outcomes curriculum qualification,0
Desalination,crossref,desalination AI digital twin autonomous systems resilience,46
Desalination,scopus,desalination AI digital twin autonomous systems resilience,0
Desalination,crossref,desalination climate adaptation just transition hydrosocial safety,25
Desalination,scopus,desalination climate adaptation just transition hydrosocial safety,0
Desalination,crossref,desalination EQF qualification framework micro-credential learning outcomes,42
Desalination,scopus,desalination EQF qualification framework micro-credential learning outcomes,0
Desalination,crossref,desalination maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,15
Desalination,scopus,desalination maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Desalination,crossref,desalination qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,33
Desalination,scopus,desalination qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Infra & Robotics,crossref,maritime infrastructure cyber physical systems digital twin,45
Infra & Robotics,scopus,maritime infrastructure cyber physical systems digital twin,10
Infra & Robotics,crossref,offshore robotics marine monitoring autonomous systems,21
Infra & Robotics,scopus,offshore robotics marine monitoring autonomous systems,21
Infra & Robotics,crossref,smart coastal infrastructure flood risk adaptation,40
Infra & Robotics,scopus,smart coastal infrastructure flood risk adaptation,4
Infra & Robotics,crossref,offshore robotics workforce skills competences training professional development,34
Infra & Robotics,scopus,offshore robotics workforce skills competences training professional development,0
Infra & Robotics,crossref,maritime robotics engineer education learning outcomes curriculum qualification,28
Infra & Robotics,scopus,maritime robotics engineer education learning outcomes curriculum qualification,0
Infra & Robotics,crossref,offshore robotics AI digital twin autonomous systems resilience,42
Infra & Robotics,scopus,offshore robotics AI digital twin autonomous systems resilience,0
Infra & Robotics,crossref,maritime cyber-physical systems climate adaptation safety port-city,27
Infra & Robotics,scopus,maritime cyber-physical systems climate adaptation safety port-city,0
Infra & Robotics,crossref,offshore robotics EQF qualification framework micro-credential learning outcomes,39
Infra & Robotics,scopus,offshore robotics EQF qualification framework micro-credential learning outcomes,0
Infra & Robotics,crossref,infra & robotics maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,24
Infra & Robotics,scopus,infra & robotics maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Infra & Robotics,crossref,infra & robotics qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,36
Infra & Robotics,scopus,infra & robotics qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Living Res.,crossref,small scale fisheries livelihoods blue economy governance,42
Living Res.,scopus,small scale fisheries livelihoods blue economy governance,19
Living Res.,crossref,fisheries management sustainability marine protected areas,20
Living Res.,scopus,fisheries management sustainability marine protected areas,25
Living Res.,crossref,aquaculture social licence environmental impact governance,39
Living Res.,scopus,aquaculture social licence environmental impact governance,3
Living Res.,crossref,fisheries workforce skills competences training professional development,35
Living Res.,scopus,fisheries workforce skills competences training professional development,0
Living Res.,crossref,aquaculture education learning outcomes curriculum qualification,25
Living Res.,scopus,aquaculture education learning outcomes curriculum qualification,0
Living Res.,crossref,fisheries AI digital twin resilience climate adaptation just transition,44
Living Res.,scopus,fisheries AI digital twin resilience climate adaptation just transition,0
Living Res.,crossref,small scale fisheries blue economy labour ocean literacy marine governance,44
Living Res.,scopus,small scale fisheries blue economy labour ocean literacy marine governance,0
Living Res.,crossref,fisheries aquaculture EQF qualification framework micro-credential learning outcomes,38
Living Res.,scopus,fisheries aquaculture EQF qualification framework micro-credential learning outcomes,0
Living Res.,crossref,living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,20
Living Res.,scopus,living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Living Res.,crossref,living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,32
Living Res.,scopus,living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Non-living Res.,crossref,seabed mining governance environmental impact social licence,37
Non-living Res.,scopus,seabed mining governance environmental impact social licence,1
Non-living Res.,crossref,marine aggregates extraction coastal governance sustainability,30
Non-living Res.,scopus,marine aggregates extraction coastal governance sustainability,0
Non-living Res.,crossref,critical raw materials offshore extraction governance,30
Non-living Res.,scopus,critical raw materials offshore extraction governance,0
Non-living Res.,crossref,seabed mining workforce skills competences training professional development,33
Non-living Res.,scopus,seabed mining workforce skills competences training professional development,0
Non-living Res.,crossref,marine aggregates education learning outcomes curriculum qualification,24
Non-living Res.,scopus,marine aggregates education learning outcomes curriculum qualification,0
Non-living Res.,crossref,seabed mining AI autonomous systems safety climate adaptation,42
Non-living Res.,scopus,seabed mining AI autonomous systems safety climate adaptation,0
Non-living Res.,crossref,critical raw materials just transition marine governance blue economy labour,42
Non-living Res.,scopus,critical raw materials just transition marine governance blue economy labour,0
Non-living Res.,crossref,seabed extraction EQF qualification framework micro-credential learning outcomes,41
Non-living Res.,scopus,seabed extraction EQF qualification framework micro-credential learning outcomes,0
Non-living Res.,crossref,non-living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,21
Non-living Res.,scopus,non-living res. maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Non-living Res.,crossref,non-living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,30
Non-living Res.,scopus,non-living res. qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Renewable Energy,crossref,offshore wind energy marine spatial planning governance,21
Renewable Energy,scopus,offshore wind energy marine spatial planning governance,25
Renewable Energy,crossref,ocean renewable energy governance sustainability,27
Renewable Energy,scopus,ocean renewable energy governance sustainability,23
Renewable Energy,crossref,tidal energy wave energy environmental impact,14
Renewable Energy,scopus,tidal energy wave energy environmental impact,25
Renewable Energy,crossref,offshore wind workforce skills competences training professional development,35
Renewable Energy,scopus,offshore wind workforce skills competences training professional development,0
Renewable Energy,crossref,ocean renewable energy education learning outcomes curriculum qualification,11
Renewable Energy,scopus,ocean renewable energy education learning outcomes curriculum qualification,0
Renewable Energy,crossref,offshore wind AI digital twin autonomous systems resilience,47
Renewable Energy,scopus,offshore wind AI digital twin autonomous systems resilience,0
Renewable Energy,crossref,offshore wind just transition climate adaptation marine governance safety,33
Renewable Energy,scopus,offshore wind just transition climate adaptation marine governance safety,0
Renewable Energy,crossref,offshore renewable energy EQF qualification framework micro-credential learning outcomes,31
Renewable Energy,scopus,offshore renewable energy EQF qualification framework micro-credential learning outcomes,0
Renewable Energy,crossref,renewable energy maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,19
Renewable Energy,scopus,renewable energy maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Renewable Energy,crossref,renewable energy qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,21
Renewable Energy,scopus,renewable energy qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Defence,crossref,maritime security governance blue economy,42
Maritime Defence,scopus,maritime security governance blue economy,25
Maritime Defence,crossref,naval operations maritime domain awareness surveillance,19
Maritime Defence,scopus,naval operations maritime domain awareness surveillance,8
Maritime Defence,crossref,critical maritime infrastructure protection governance,33
Maritime Defence,scopus,critical maritime infrastructure protection governance,9
Maritime Defence,crossref,maritime security workforce skills competences training professional development,36
Maritime Defence,scopus,maritime security workforce skills competences training professional development,1
Maritime Defence,crossref,naval operations education learning outcomes curriculum qualification,23
Maritime Defence,scopus,naval operations education learning outcomes curriculum qualification,0
Maritime Defence,crossref,maritime domain awareness AI autonomous systems digital twin resilience,35
Maritime Defence,scopus,maritime domain awareness AI autonomous systems digital twin resilience,0
Maritime Defence,crossref,maritime security climate adaptation marine governance safety port-city,19
Maritime Defence,scopus,maritime security climate adaptation marine governance safety port-city,0
Maritime Defence,crossref,maritime defence EQF qualification framework micro-credential learning outcomes,40
Maritime Defence,scopus,maritime defence EQF qualification framework micro-credential learning outcomes,0
Maritime Defence,crossref,maritime defence maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,20
Maritime Defence,scopus,maritime defence maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Defence,crossref,maritime defence qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,21
Maritime Defence,scopus,maritime defence qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Maritime Transport,crossref,maritime transport decarbonization emissions reduction,43
Maritime Transport,scopus,maritime transport decarbonization emissions reduction,25
Maritime Transport,crossref,shipping governance international regulations IMO,26
Maritime Transport,scopus,shipping governance international regulations IMO,25
Maritime Transport,crossref,maritime safety maritime labour conditions,16
Maritime Transport,scopus,maritime safety maritime labour conditions,25
Maritime Transport,crossref,seafarer workforce skills competences training professional development,34
Maritime Transport,scopus,seafarer workforce skills competences training professional development,1
Maritime Transport,crossref,maritime officer education learning outcomes curriculum qualification,23
Maritime Transport,scopus,maritime officer education learning outcomes curriculum qualification,0
Maritime Transport,crossref,shipping AI digital twin autonomous systems decarbonization resilience,48
Maritime Transport,scopus,shipping AI digital twin autonomous systems decarbonization resilience,0
Maritime Transport,crossref,shipping just transition blue economy labour ocean literacy marine governance safety,42
Maritime Transport,scopus,shipping just transition blue economy labour ocean literacy marine governance safety,0
Maritime Transport,crossref,maritime transport EQF qualification framework micro-credential STCW learning outcomes,24
Maritime Transport,scopus,maritime transport EQF qualification framework micro-credential STCW learning outcomes,0
Maritime Transport,crossref,maritime transport maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,28
Maritime Transport,scopus,maritime transport maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Maritime Transport,crossref,maritime transport qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,16
Maritime Transport,scopus,maritime transport qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Port Activities,crossref,port governance maritime logistics sustainability,28
Port Activities,scopus,port governance maritime logistics sustainability,25
Port Activities,crossref,smart ports digital transformation port operations,34
Port Activities,scopus,smart ports digital transformation port operations,24
Port Activities,crossref,port climate adaptation sea level rise flood risk,27
Port Activities,scopus,port climate adaptation sea level rise flood risk,13
Port Activities,crossref,port worker workforce skills competences training professional development,33
Port Activities,scopus,port worker workforce skills competences training professional development,0
Port Activities,crossref,port operations education learning outcomes curriculum qualification,22
Port Activities,scopus,port operations education learning outcomes curriculum qualification,0
Port Activities,crossref,smart port AI digital twin autonomous systems resilience,47
Port Activities,scopus,smart port AI digital twin autonomous systems resilience,0
Port Activities,crossref,port-city climate adaptation just transition ocean literacy marine governance hydrosocial,34
Port Activities,scopus,port-city climate adaptation just transition ocean literacy marine governance hydrosocial,0
Port Activities,crossref,port operations EQF qualification framework micro-credential learning outcomes,41
Port Activities,scopus,port operations EQF qualification framework micro-credential learning outcomes,0
Port Activities,crossref,port activities maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,30
Port Activities,scopus,port activities maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Port Activities,crossref,port activities qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,22
Port Activities,scopus,port activities qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
R&I,crossref,ocean observation marine monitoring data infrastructure,26
R&I,scopus,ocean observation marine monitoring data infrastructure,25
R&I,crossref,ocean data governance FAIR CARE principles,33
R&I,scopus,ocean data governance FAIR CARE principles,1
R&I,crossref,blue economy research innovation policy governance,35
R&I,scopus,blue economy research innovation policy governance,25
R&I,crossref,blue economy researcher workforce skills competences training professional development,34
R&I,scopus,blue economy researcher workforce skills competences training professional development,0
R&I,crossref,ocean science education learning outcomes curriculum qualification,26
R&I,scopus,ocean science education learning outcomes curriculum qualification,0
R&I,crossref,ocean observation AI digital twin autonomous systems resilience climate adaptation,42
R&I,scopus,ocean observation AI digital twin autonomous systems resilience climate adaptation,0
R&I,crossref,blue economy research just transition ocean literacy marine governance hydrosocial,44
R&I,scopus,blue economy research just transition ocean literacy marine governance hydrosocial,0
R&I,crossref,ocean science EQF qualification framework micro-credential learning outcomes,43
R&I,scopus,ocean science EQF qualification framework micro-credential learning outcomes,0
R&I,crossref,r&i maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,18
R&I,scopus,r&i maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
R&I,crossref,r&i qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,29
R&I,scopus,r&i qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Ship Repair,crossref,ship repair shipyard workforce skills training,16
Ship Repair,scopus,ship repair shipyard workforce skills training,2
Ship Repair,crossref,ship retrofit decarbonization maintenance governance,40
Ship Repair,scopus,ship retrofit decarbonization maintenance governance,0
Ship Repair,crossref,maritime repair supply chain safety standards,21
Ship Repair,scopus,maritime repair supply chain safety standards,0
Ship Repair,crossref,shipyard worker workforce skills competences training professional development,32
Ship Repair,scopus,shipyard worker workforce skills competences training professional development,0
Ship Repair,crossref,ship repair engineer education learning outcomes curriculum qualification,25
Ship Repair,scopus,ship repair engineer education learning outcomes curriculum qualification,0
Ship Repair,crossref,ship repair AI digital twin autonomous systems resilience,48
Ship Repair,scopus,ship repair AI digital twin autonomous systems resilience,0
Ship Repair,crossref,ship retrofit just transition climate adaptation marine governance safety,31
Ship Repair,scopus,ship retrofit just transition climate adaptation marine governance safety,0
Ship Repair,crossref,ship repair EQF qualification framework micro-credential learning outcomes,42
Ship Repair,scopus,ship repair EQF qualification framework micro-credential learning outcomes,0
Ship Repair,crossref,ship repair maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,20
Ship Repair,scopus,ship repair maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Ship Repair,crossref,ship repair qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,28
Ship Repair,scopus,ship repair qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
