signal_id,evidence_id,run_id,sector,axis_group,axis_code,query_id,query_family,semantic_scope,signal_type,competence_label,competence_description,demand_phrase,learning_outcome_candidate,evidence_text_scope,evidence_text_hash,confidence_score,classifier_version,manual_review_status,validity_warning
signal:02e32782cb885ee63cab088f8ceff987bf0e448bb2467b7904665064c7216f0b,evidence:doi:10.14742/apubs.2022.198,30090903921-1,coastal_tourism,OCEANIC,O,Q_COASTAL_TOURISM_VAL_001,validation_eqf_translation,title,credential_translation_signal,Credential translation signal,"Micro-credentials, credential recognition, or cross-border translation.",micro-credential,Credential translation signal evidenced in: Developing a micro-credential for Learning Designers: A Delphi Study,Developing a micro-credential for Learning Designers: A Delphi Study,039f208381c83c4f2b65e7b79351329b05755e99f5fbe246cd1d9b0187559bea,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:0309e5a370066d0efbc198ae51210f885eb28aab5d3e073ab9093353b0ec9233,evidence:doi:10.5220/0012551500003693,30090903921-1,infra_robotics,MARITIME,T,Q_INFRA_ROBOTICS_COMP_002,competence_demand,title,technical_skill,Technical or engineering skill,"Engineering, technology, and operations skill signals.",robotics,Technical or engineering skill evidenced in: An Approach Based on Learning by Teaching to Support the Vertical Alignment of the Educational Robotics Curriculum,An Approach Based on Learning by Teaching to Support the Vertical Alignment of the Educational Robotics Curriculum,d88e4259a6257164b13e22b899366365b217d142c8cde7321e4c13990bb02333,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:03103d3d38a9e1f0bc6f97fe553968ba18d91d6b51571e52c04a49689d2dede7,evidence:doi:10.1007/s12210-024-01225-0,30090903921-1,port_activities,MARITIME,T,Q_PORT_ACTIVITIES_CORE_003,core_sector,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",adaptation,"Sustainability, resilience, or adaptation skill evidenced in: Adaptation to sea level rise in France",Adaptation to sea level rise in France,22350dba0f9804f4c113aecc3d85212ce3b35f36c581cd7b6cadc90cef9c2e19,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:03b52747054a9e296566c21a80883b04b931c71ac9908ee307f20527beec1e20,evidence:doi:10.1016/j.marpol.2025.106978,30090903921-1,renewable_energy,MARITIME,T,Q_RENEWABLE_ENERGY_CORE_001,core_sector,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",stakeholder,Governance or policy skill evidenced in: Stakeholder mapping and early detection of tensions in offshore wind development: A press analysis in the Gulf of Roses and Cap de Creus (NW Mediterranean),Stakeholder mapping and early detection of tensions in offshore wind development: A press analysis in the Gulf of Roses and Cap de Creus (NW Mediterranean),d50128bf1f596d146d636c33428129d08f6c09622a83b8d73e4a74b25aba7de3,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:03cc15109bdf13cf1548eb0c3fe408c459c7bf02c72f531cce89e37a35090e88,evidence:doi:10.4018/979-8-3373-6876-4.ch009,30090903921-1,infra_robotics,MARITIME,T,Q_INFRA_ROBOTICS_EMRG_001,emerging_demand,title,technical_skill,Technical or engineering skill,"Engineering, technology, and operations skill signals.",robotics,Technical or engineering skill evidenced in: AI Security in Agricultural Robotics and Autonomous Farming Systems,AI Security in Agricultural Robotics and Autonomous Farming Systems,9d02d157759f8bfe5b4444c7ff446f61b70c8fa24f02b60c51d6b1fd39aa4a7a,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:03e06eda6d03bad6a202eb571542be92ddbd203f7bf9ee832f9913f7a5da0c7e,evidence:doi:10.4324/9781003365815-13,30090903921-1,coastal_tourism,OCEANIC,O,Q_COASTAL_TOURISM_CORE_001,core_sector,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",sustainability,"Sustainability, resilience, or adaptation skill evidenced in: Sustainability Priorities Disclosures in Annual Reports and the Contribution of Museums to Sustainable Development and Overtourism",Sustainability Priorities Disclosures in Annual Reports and the Contribution of Museums to Sustainable Development and Overtourism,dbe80a86b936e6a84086f0397ac6009a8dba57fdf6ce1f006197ad80af22479e,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:0444321e3030674d47f5cf5de054d8c11cb67ac84fc364864eb01ecd92595254,evidence:doi:10.1186/s13705-019-0227-y,30090903921-1,renewable_energy,MARITIME,T,Q_RENEWABLE_ENERGY_CORE_002,core_sector,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,Governance or policy skill evidenced in: Governance of sustainability in the German biogas sector—adaptive management of the Renewable Energy Act between agriculture and the energy sector,Governance of sustainability in the German biogas sector—adaptive management of the Renewable Energy Act between agriculture and the energy sector,7604484c56253592865634104bdc5b1dee6648d65e77e56ae8b3d8535e00a5e8,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:0484d182d65522cab32bce971a840c770998edc0d7075a410a2be768097b6597,evidence:doi:10.4324/9781003031765-10,30090903921-1,coastal_tourism,OCEANIC,O,Q_COASTAL_TOURISM_CORE_001,core_sector,title,education_training_signal,Education and training signal,"Formal or informal education, training, curriculum, or capacity building.",education,Education and training signal evidenced in: The impact of tourism education on tourism destination performance and sustainability,The impact of tourism education on tourism destination performance and sustainability,29efe5c2b2d24786a481476cddfbcb63559a23b0119c64d0609ff7da4b321dd7,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:04a2ea9b6bf4c851370d1d2814a5eedf45ac368971c0288c341ee75ade4a6762,evidence:doi:10.2118/221957-ms,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_EMRG_001,emerging_demand,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",digital,Digital or data skill evidenced in: Enhancing Efficiency and Sustainability in Offshore Oil and Gas Operations through Digital Twin and AI Technology: A Practitioner's View,Enhancing Efficiency and Sustainability in Offshore Oil and Gas Operations through Digital Twin and AI Technology: A Practitioner's View,d8959aeb05c9f47afc4d2c035efb9f3ef81c7d748fc9b537b32f02f5f17764ac,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:04d2e50bd06fc5024cfe2386a95c826d1b39a2ad2537590782447b1ed273b85f,evidence:doi:10.3390/su16145917,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_EMRG_001,emerging_demand,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",digital,Digital or data skill evidenced in: Digital Economy and Urban Low-Carbon Transition: Theoretical Model and New Mechanisms,Digital Economy and Urban Low-Carbon Transition: Theoretical Model and New Mechanisms,2bc1552b620a68cd0fbab844b2f7fb7ca1e596e2bccc9ca750acf967429f459b,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:04e318f5f22ca09c8f68202b0cf215d97b9de4aa7f7e29768c171b7fb57d55e8,evidence:doi:10.5220/0014889300005059,30090903921-1,living_res,MARINE,M,Q_LIVING_RES_CORE_003,core_sector,title,safety_risk_skill,Safety or risk-management skill,"Safety, risk, hazard, and emergency-response skill signals.",risk,"Safety or risk-management skill evidenced in: Supply Chain Risk: Environmental, Social and Governance Three-Dimensional Impact and Challenges","Supply Chain Risk: Environmental, Social and Governance Three-Dimensional Impact and Challenges",bb46b85ce8b6e29cf7f9802bad16e294252cb1d1c88e35d6f7c77e0a39b5fa81,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:04fcd3a8900001f66d6746ed537bd77830a5ab80352a85360843fc6eed27da5a,evidence:doi:10.21203/rs.3.rs-10000542/v1,30090903921-1,port_activities,MARITIME,T,Q_PORT_ACTIVITIES_COMP_001,competence_demand,title,workforce_skill,Workforce skill signal,"Mentions of workforce, labour, employment, and human-capital dimensions.",workforce,"Workforce skill signal evidenced in: Developing Smart Port Readiness: The Roles of Workforce Competency, Training, and Inter-Organisational Collaboration","Developing Smart Port Readiness: The Roles of Workforce Competency, Training, and Inter-Organisational Collaboration",329786aaac2205ad591c1014e45706b1ee1355d213c3367cc2e5f27e461b4d99,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:051d4b9ee63c58dc8e9de5ae625091a90f92c8c07bd8cac1ec4407d5e705fd5e,evidence:doi:10.1016/j.marpol.2020.104387,30090903921-1,r_i,OCEANIC,O,Q_R_I_EMRG_002,emerging_demand,title,safety_risk_skill,Safety or risk-management skill,"Safety, risk, hazard, and emergency-response skill signals.",risk,Safety or risk-management skill evidenced in: Blue growth and blue justice: Ten risks and solutions for the ocean economy,Blue growth and blue justice: Ten risks and solutions for the ocean economy,9c68ea63cb054f68f309360ba7a387cc843bd53a2c13c9608625aaf10f128d92,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:052005df4b4ac5c6a2dd2c4f74ae140c0cf1c67c66c1e98e5d0202f3b006a364,evidence:doi:10.1016/j.seta.2026.105209,30090903921-1,desalination,HYDRONIZATION,H,Q_DESALINATION_CORE_002,core_sector,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",sustainability,"Sustainability, resilience, or adaptation skill evidenced in: A review of water, energy, and food nexus in the MENA region: harmonizing data infrastructure and environmental sustainability","A review of water, energy, and food nexus in the MENA region: harmonizing data infrastructure and environmental sustainability",5f75fd9df952adff877b191fff58db8abb2f4fffe7cd269004d5b62c5b815bef,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:053b76ab9e38b18c6af9f2acb117db7aef10026672b52844885decac08fee16e,evidence:doi:10.4337/9781786437273.00008,30090903921-1,coastal_tourism,OCEANIC,O,Q_COASTAL_TOURISM_CORE_003,core_sector,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,Governance or policy skill evidenced in: Sustainable tourism governance and Caribbean SIDS,Sustainable tourism governance and Caribbean SIDS,684ffb688107f2dbfe18684415d68051d6c62a7a4a8aef8530d20ddbaefcf9e0,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:054a679664c904c4b3ae2b780c47ecfa988c91487f2420fd6790e0a4f8518d6b,evidence:doi:10.1201/9781003638308-4,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_EMRG_001,emerging_demand,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",sustainability,"Sustainability, resilience, or adaptation skill evidenced in: Digital-Twin-Enabled Land Administration and Its Connections to Social Sustainability",Digital-Twin-Enabled Land Administration and Its Connections to Social Sustainability,a251ff190e9fdc13d0fc19151966b76f491cc511f066c2227c53cdaf774facd4,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:055665716a9c53f3b79285cecd884828b994038dc75d631189741090a55aaeb8,evidence:doi:10.1017/cft.2023.2.pr6,30090903921-1,coastal_tourism,OCEANIC,O,Q_COASTAL_TOURISM_CORE_003,core_sector,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",sustainability,"Sustainability, resilience, or adaptation skill evidenced in: Recommendation: A decade of ‘blue tourism’ sustainability research: Exploring the impact of cruise tourism on coastal areas — R1/PR6",Recommendation: A decade of ‘blue tourism’ sustainability research: Exploring the impact of cruise tourism on coastal areas — R1/PR6,5901c709b541bf289c2098583bcae191377ef31e301c3b436c06110afdf1cc4d,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:059e37c6b9683ef10cffee0791633c9c8a1bb4b165b0f90e756b741ebbcaff08,evidence:doi:10.2139/ssrn.5291572,30090903921-1,maritime_transport,MARITIME,T,Q_MARITIME_TRANSPORT_CORE_002,core_sector,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",machine learning,Digital or data skill evidenced in: Machine Learning-Based Forecasting of Maritime Operational Costs Under IMO 2028 Regulations,Machine Learning-Based Forecasting of Maritime Operational Costs Under IMO 2028 Regulations,6e0c4214331f865431573c96728092250f242512f2319b6783a5b28e9c299df4,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:05b48aaa39a13afdd6d8ba1e79704efb293ff2568470f24949233f59633473c0,evidence:doi:10.26686/wgtn.12612938,30090903921-1,coastal_tourism,OCEANIC,O,Q_COASTAL_TOURISM_EMRG_001,emerging_demand,title,sustainability_skill,"Sustainability, resilience, or adaptation skill","Sustainability, resilience, and adaptation skill signals.",adaptation,"Sustainability, resilience, or adaptation skill evidenced in: Climate Change Adaptation in the Coastal Tourism Hotel Sector: The case of Sihanoukville, Cambodia","Climate Change Adaptation in the Coastal Tourism Hotel Sector: The case of Sihanoukville, Cambodia",2efa9806f69d2b522aeedc05e137e36728c47957d4360913e7600162492f7569,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:05c21365638da4532c15ba4f649bcc6db1f2e534d91199c7d4fa8fe156dd5fd6,evidence:doi:10.2139/ssrn.6338971,30090903921-1,coastal_tourism,OCEANIC,O,Q_COASTAL_TOURISM_CORE_002,core_sector,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,Governance or policy skill evidenced in: Blue Economy Governance: Evidence of Marine Tourism Development on Blue Justice for Small-scale Fishermen in The Mandeh Region of Indonesia,Blue Economy Governance: Evidence of Marine Tourism Development on Blue Justice for Small-scale Fishermen in The Mandeh Region of Indonesia,e557afe92d274a36597d49f81b3975f6e5740960681b159442188ee6d900e373,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:05d64e6ffc0f099251b2325a24fe413443a87fca2bc145dc99b1d0d5450a3ba1,evidence:doi:10.18690/um.fov.4.2024.28,30090903921-1,living_res,MARINE,M,Q_LIVING_RES_EMRG_001,emerging_demand,title,digital_skill,Digital or data skill,"Digital, data, AI, autonomy, and cyber-technical skill signals.",digital,Digital or data skill evidenced in: Towards Social Digital Twins – An Integrated Sociotechnical Approach for the Urban Energy Transition,Towards Social Digital Twins – An Integrated Sociotechnical Approach for the Urban Energy Transition,65f4f1753cc478fed0d47353731da4b6d23a60992b26e5d4ecb48019140ab527,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:05d65fbf2b34b90cc4057f2616e03dee408ca9ba482b200f1fde6c4ed5d98503,evidence:doi:10.4337/9781035324965.00031,30090903921-1,living_res,MARINE,M,Q_LIVING_RES_CORE_003,core_sector,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,"Governance or policy skill evidenced in: Environmental, social, and governance advocacy of global institutional investors: reshaping the governance of mission, social impact, and purpose","Environmental, social, and governance advocacy of global institutional investors: reshaping the governance of mission, social impact, and purpose",f1dafa2f1d089ddd62d9bd06be677fabbd4e1375e5fe13eeb1099d31af065fe1,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:0611a13f306d97bdab144abf5d54c922b459fc85f46f4f07f0e573a17cc08297,evidence:doi:10.5821/mt.15190,30090903921-1,maritime_transport,OCEANIC,O,Q_MARITIME_TRANSPORT_THY_001,theory_translation,title,safety_risk_skill,Safety or risk-management skill,"Safety, risk, hazard, and emergency-response skill signals.",safety,Safety or risk-management skill evidenced in: Importance of dynamic routing algorithms and event management tools in terms of maritime safety and operational efficiency,Importance of dynamic routing algorithms and event management tools in terms of maritime safety and operational efficiency,7e2c09d82deba7d266816d41a86287455905b65dc2b437a6835f9268ce88e667,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:06199680721097c6b1b4cb2def860118ca95f5c7c778548ac4a3308bcff15cf6,evidence:doi:10.1163/9789004380271_092,30090903921-1,blue_biotech,OCEANIC,O,Q_BLUE_BIOTECH_EMRG_002,emerging_demand,title,social_science_skill,Social-science or literacy skill,"Ocean literacy, blue citizenship, and social-science skill signals.",literacy,Social-science or literacy skill evidenced in: The Marine People Partnership: Building a Workforce for Our Ocean Industries through Ocean Literacy,The Marine People Partnership: Building a Workforce for Our Ocean Industries through Ocean Literacy,6be96949dd8d03f10f2cc83217842bbd99d5faa068621ed54aaeb49940c5a932,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:061d84bdbd1f191a211b4c2a5e19717570370d68d4f19db117b1951c880fa97b,evidence:doi:10.1007/978-981-97-5914-9_9,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_VAL_001,validation_eqf_translation,title,workforce_skill,Workforce skill signal,"Mentions of workforce, labour, employment, and human-capital dimensions.",profession,Workforce skill signal evidenced in: Professional Development Pathway,Professional Development Pathway,14d94552a901e7096d3b096af32945d6b22884ab9b22e030cf52d72548b10615,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:06256750d67bac821c210aeccc0ef3025c7ffe1524155f6f2aa2d11593eb63e5,evidence:doi:10.1007/978-3-030-31749-2_6,30090903921-1,maritime_transport,MARITIME,T,Q_MARITIME_TRANSPORT_CORE_002,core_sector,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,Governance or policy skill evidenced in: Governance of International Shipping in the Era of Decarbonisation: New Challenges for the IMO?,Governance of International Shipping in the Era of Decarbonisation: New Challenges for the IMO?,95f5ae40ba55651d102816e54ad30506a5a17dc350c2d117455bc7ba8f633784,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:062a5a494c3c1a38b90e84e5bf0e979a16789bbe09dbae0ed577b7bb2b3614ec,evidence:doi:10.1007/978-981-96-5435-2_18,30090903921-1,renewable_energy,MARITIME,T,Q_RENEWABLE_ENERGY_CORE_002,core_sector,title,policy_regulation_skill,Policy or regulation skill,"Regulatory, legal, and compliance skill signals.",regulatory,"Policy or regulation skill evidenced in: Navigating the Legal and Regulatory Frontiers of Urban AI, Autonomous Maritime Robots and Floating Cities","Navigating the Legal and Regulatory Frontiers of Urban AI, Autonomous Maritime Robots and Floating Cities",d90dc5249457e2599177938209a942af8c0991e817f9262f8fdc93cc216b3ca4,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
signal:063153a37c56846802cd359cf9ec6a57a6049017a0726ffc2720fa71a9430bbf,evidence:doi:10.3390/su18147241,30090903921-1,blue_biotech,MARINE,M,Q_BLUE_BIOTECH_EMRG_001,emerging_demand,title,governance_skill,Governance or policy skill,"Governance, institutional, and stakeholder coordination skills.",governance,Governance or policy skill evidenced in: AI-Driven Risk Governance for Sustainable NEV Business Ecosystems: A Digital Twin-Inspired Early Warning Approach,AI-Driven Risk Governance for Sustainable NEV Business Ecosystems: A Digital Twin-Inspired Early Warning Approach,2c4190be3f62c0b6b11ff588e523bdf29f8b1a90e5b313d9de59e6d7a89e5b81,0.45,cumulative-db-semantic-v1,review_required,metadata_only_limitation
