id,name,description,axis,level,source
lit_labor_justice_0025,Artisanal fishing knowledge and ecological literacy: Blue justice: a review of emerging scholarship and resistance movement,"Literature-derived competence (cluster: Artisanal fishing knowledge and ecological literacy) from Blue economy labour justice & social equity papers. Source paper: Blue justice: a review of emerging scholarship and resistance movements (Jessica Blythe
David Gill
Joachim Claudet
Nathan J. Bennett
, 2023).",MARINE,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0026,"Equitable benefit-sharing in ocean resource governance: Blue Economy, Blue Growth, Social Equity and Small-scale Fisheries: A","Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Blue Economy, Blue Growth, Social Equity and Small-scale Fisheries: A Global and National Level Review (Jewel Das, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0027,Community participation in marine spatial planning: ‘There just can’t be green without blue’: Sustainability and fishers i,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: ‘There just can’t be green without blue’: Sustainability and fishers in the EU’s blue economy (Emily Cunniffe, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0028,Indigenous and traditional fishing rights advocacy: Author comment: Social sustainability in seafood systems: a rapid revi,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Author comment: Social sustainability in seafood systems: a rapid review — R0/PR1 (Karen Alexander, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0029,Social impact assessment for blue economy projects: Blue Economy Struggles—Capital and Power in the Global Ocean: Introduc,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Blue Economy Struggles—Capital and Power in the Global Ocean: Introduction (Felix Mallin, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0030,Blue justice frameworks and social sustainability: Navigating Blue Justice: Policy Gaps and Conflicts in Coastal Developm,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Navigating Blue Justice: Policy Gaps and Conflicts in Coastal Development from Small-Scale Fisher Perspectives (Jose Amorim Reis-Filho
Vanessa Hatje
Francisco Barros, ).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0031,Equitable benefit-sharing in ocean resource governance: Critical Review of Blue Justice and China-Pakistan Economic Corridor (,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Critical Review of Blue Justice and China-Pakistan Economic Corridor (CPEC) (Urooj Aijaz, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0032,"Gender equity and inclusion in blue workplaces: Women fish traders on the Kenyan coast: livelihoods, bargaining power","Literature-derived competence (cluster: Gender equity and inclusion in blue workplaces) from Blue economy labour justice & social equity papers. Source paper: Women fish traders on the Kenyan coast: livelihoods, bargaining power, and participation in management (Naomi Matsue
Tim M. Daw
Lucy Garrett, 2014).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0033,Indigenous and traditional fishing rights advocacy: Strong versus weak sustainable development in the blue economy: a stud,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Strong versus weak sustainable development in the blue economy: a study of 15 EU coastal countries (Christoph Spenger
Ignacio Saldivia Gonzatti
Lennard Kröger
C, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0034,Social impact assessment for blue economy projects: Commentary 1 to the Manifesto for the Marine Social Sciences: fisherie,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Commentary 1 to the Manifesto for the Marine Social Sciences: fisheries (N.A. Steins
Hilde M. Toonen
Alyne Delaney, 2020).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0035,Blue justice frameworks and social sustainability: Author comment: Social sustainability in seafood systems: a rapid revi,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Author comment: Social sustainability in seafood systems: a rapid review — R1/PR6 (Karen Alexander, 2023).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0036,Precarious work and informality in coastal fisheries: Sustainable Maritime Labour Governance: The Role of Transformative Par,"Literature-derived competence (cluster: Precarious work and informality in coastal fisheries) from Blue economy labour justice & social equity papers. Source paper: Sustainable Maritime Labour Governance: The Role of Transformative Partnership in Seafarers' Welfare (Desai Shan
Pengfei Zhang, 2021).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0037,"Community participation in marine spatial planning: Chapter 6 fisheries governance, social justice and participatory decis","Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Chapter 6 fisheries governance, social justice and participatory decision-making (Hans-Kristian Hernes
Svein Jentoft
Knut H. Mikalsen, 2005).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0038,"Indigenous and traditional fishing rights advocacy: Fisheries Governance, Social Justice and Participatory Decision-Making","Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Fisheries Governance, Social Justice and Participatory Decision-Making (Hans-Kristian Hernes
Svein Jentoft
Knut H. Mikalsen, 2005).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0039,Social impact assessment for blue economy projects: Prospects for the Kenyan Blue Economy,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Prospects for the Kenyan Blue Economy (Alex Benkenstein, 2018).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0040,Blue justice frameworks and social sustainability: Enhancing community empowerment through participatory fisheries resear,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Enhancing community empowerment through participatory fisheries research (Melanie G. Wiber
Anthony Charles
John Kearney
Fikret Berkes, 2009).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0041,Equitable benefit-sharing in ocean resource governance: Interactive learning and governance transformation for securing blue j,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Interactive learning and governance transformation for securing blue justice for small-scale fisheries (Svein Jentoft
Ratana Chuenpagdee, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0042,Gender equity and inclusion in blue workplaces: Bringing a justice lens to ocean access,"Literature-derived competence (cluster: Gender equity and inclusion in blue workplaces) from Blue economy labour justice & social equity papers. Source paper: Bringing a justice lens to ocean access (Jonas Hein
Silja Klepp
Anna Lena Bercht, 2024).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0043,Indigenous and traditional fishing rights advocacy: Institutionalizing injustice? Aligning governance orders in Swedish sm,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Institutionalizing injustice? Aligning governance orders in Swedish small-scale fisheries (Sebastian Linke, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0044,Social impact assessment for blue economy projects: THE BLUE ECONOMY IN EU COASTAL REGIONS: SECTORAL COMPOSITION AND STRUC,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: THE BLUE ECONOMY IN EU COASTAL REGIONS: SECTORAL COMPOSITION AND STRUCTURAL CHALLENGES. (O Ovchynnykova
V Navickas, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0045,Blue justice frameworks and social sustainability: Social sustainability and equity in the blue economy,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Social sustainability and equity in the blue economy (Nathan J. Bennett
Sebastián Villasante
Maria Jose Espinosa-R, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0046,Equitable benefit-sharing in ocean resource governance: Co-creating a just and inclusive blue economy: an analysis of ocean ju,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Co-creating a just and inclusive blue economy: an analysis of ocean justice in academic literature, policy and legislati (Celine Germond‐Duret
Senia Febrica, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0047,Community participation in marine spatial planning: Incentives to Mariculture Development in Brazil: Environmental Injusti,"Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Incentives to Mariculture Development in Brazil: Environmental Injustice on Traditional Fishing Communities (Jean Maurais, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0048,Decent work standards for aquaculture workers: Justicia en territorios pesqueros: Violaciones a los derechos humanos,"Literature-derived competence (cluster: Decent work standards for aquaculture workers) from Blue economy labour justice & social equity papers. Source paper: Justicia en territorios pesqueros: Violaciones a los derechos humanos en la pesca artesanal en la Corte Constitucional d (Isabela Figueroa
Lina M. Saavedra-Díaz
Paula Satizábal, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0049,Migration and mobile labour in maritime industries: Ecosystem-based Governance for a Sustainable Blue Economy,"Literature-derived competence (cluster: Migration and mobile labour in maritime industries) from Blue economy labour justice & social equity papers. Source paper: Ecosystem-based Governance for a Sustainable Blue Economy (Juan M. Molina
Gabriela E. Blasina
Miguel Frohlich
Pedro Fid, 2025).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0050,"Blue justice frameworks and social sustainability: Ideals, realities and paradoxes of stakeholder participation in EU fis","Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Ideals, realities and paradoxes of stakeholder participation in EU fisheries governance (Sebastian Linke
Svein Jentoft, 2016).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0051,Equitable benefit-sharing in ocean resource governance: Integrating blue: How do we make nationally determined contributions w,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Integrating blue: How do we make nationally determined contributions work for both blue carbon and local coastal communi (Amrit Melissa Dencer-Brown
Robyn Shilland
Daniel A. Friess
D, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0052,"Community participation in marine spatial planning: Blueing business as usual in the ocean: Blue economies, oil, and clima","Literature-derived competence (cluster: Community participation in marine spatial planning) from Blue economy labour justice & social equity papers. Source paper: Blueing business as usual in the ocean: Blue economies, oil, and climate justice (Leah Fusco
Christine Knott
Andrés M. Cisneros-Montemayor
Ger, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0053,Indigenous and traditional fishing rights advocacy: Blue Justice in Three Governance Orders,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Blue Justice in Three Governance Orders (, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0054,"Social impact assessment for blue economy projects: Blueprint for a sustainable blue economy: Challenges, opportunities, a","Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Blueprint for a sustainable blue economy: Challenges, opportunities, and policy pathways (Kamal Un Nabi
Mohsina Hayat, 2025).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0055,Blue justice frameworks and social sustainability: Small-scale fisheries within maritime spatial planning: knowledge inte,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Small-scale fisheries within maritime spatial planning: knowledge integration and power (Svein Jentoft, 2017).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0056,Precarious work and informality in coastal fisheries: Advancing a sustainable Blue Economy - case study: fisheries governanc,"Literature-derived competence (cluster: Precarious work and informality in coastal fisheries) from Blue economy labour justice & social equity papers. Source paper: Advancing a sustainable Blue Economy - case study: fisheries governance in the Indian Ocean (Xu Kuangdi, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0057,Child labour and forced labour prevention in fisheries: Pengembangan Tata Kelola Ekonomi Biru Untuk Memperkuat Blue Economy De,"Literature-derived competence (cluster: Child labour and forced labour prevention in fisheries) from Blue economy labour justice & social equity papers. Source paper: Pengembangan Tata Kelola Ekonomi Biru Untuk Memperkuat Blue Economy Development Index di Indonesia (Aryo Sahid Sujiwo
Nurlaili Nurlaili, 2024).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0058,Indigenous and traditional fishing rights advocacy: Participation and representation in governing multiple-use marine ecos,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Participation and representation in governing multiple-use marine ecosystems (Maree Fudge, 2018).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0059,Social impact assessment for blue economy projects: Examining Institutional Arrangements toward Coordinated Regional Ocean,"Literature-derived competence (cluster: Social impact assessment for blue economy projects) from Blue economy labour justice & social equity papers. Source paper: Examining Institutional Arrangements toward Coordinated Regional Ocean Governance and Blue Economy Policy Development in (Kahlil Hassanali, 2022).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0060,Blue justice frameworks and social sustainability: Rethinking Environmental Governance for Development: the Blue OEconomy,"Literature-derived competence (cluster: Blue justice frameworks and social sustainability) from Blue economy labour justice & social equity papers. Source paper: Rethinking Environmental Governance for Development: the Blue OEconomy Dispositive (Alex Midlen, ).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0061,Equitable benefit-sharing in ocean resource governance: Integrating environmental sustainability and social justice principles,"Literature-derived competence (cluster: Equitable benefit-sharing in ocean resource governance) from Blue economy labour justice & social equity papers. Source paper: Integrating environmental sustainability and social justice principles into South Africa's blue economy initiative: re-i (Merle Sowman
Jackie Sunde, 2024).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0062,Gender equity and inclusion in blue workplaces: Adding People to the Sea : Conceptualizing Social Sustainability in Ma,"Literature-derived competence (cluster: Gender equity and inclusion in blue workplaces) from Blue economy labour justice & social equity papers. Source paper: Adding People to the Sea : Conceptualizing Social Sustainability in Maritime Spatial Planning (Fred Saunders
Michael Gilek
Ralph Voma Tafon, 2019).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0063,Indigenous and traditional fishing rights advocacy: Equity in environmental governance: perceived fairness of distribution,"Literature-derived competence (cluster: Indigenous and traditional fishing rights advocacy) from Blue economy labour justice & social equity papers. Source paper: Equity in environmental governance: perceived fairness of distributional justice principles in marine co-management (Georgina G. Gurney
Sangeeta Mangubhai
Margaret Fox
Milena Ki, 2021).",OCEANIC,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0064,"Labour union organising and collective bargaining: Power, knowledge, and conflict in the shaping of commons governance. T","Literature-derived competence (cluster: Labour union organising and collective bargaining) from Blue economy labour justice & social equity papers. Source paper: Power, knowledge, and conflict in the shaping of commons governance. The case of EU Baltic fisheries (Tom R. Burns
Christian Stöhr, 2011).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
lit_labor_justice_0065,Occupational health and safety at sea: Legitimacy and EU Marine Governance,"Literature-derived competence (cluster: Occupational health and safety at sea) from Blue economy labour justice & social equity papers. Source paper: Legitimacy and EU Marine Governance (William Brandon Smith, 2023).",MARITIME,,data/derived/combined_blue_economy_labor_justice.csv
