sector,provider,query,record_count
R&I,crossref,ocean observation marine monitoring data infrastructure,50
R&I,scopus,ocean observation marine monitoring data infrastructure,0
R&I,wos,ocean observation marine monitoring data infrastructure,0
R&I,crossref,ocean data governance FAIR CARE principles,50
R&I,scopus,ocean data governance FAIR CARE principles,0
R&I,wos,ocean data governance FAIR CARE principles,0
R&I,crossref,blue economy research innovation policy governance,50
R&I,scopus,blue economy research innovation policy governance,0
R&I,wos,blue economy research innovation policy governance,0
Ship Repair,crossref,ship repair shipyard workforce skills training,50
Ship Repair,scopus,ship repair shipyard workforce skills training,0
Ship Repair,wos,ship repair shipyard workforce skills training,0
Ship Repair,crossref,ship retrofit decarbonization maintenance governance,50
Ship Repair,scopus,ship retrofit decarbonization maintenance governance,0
Ship Repair,wos,ship retrofit decarbonization maintenance governance,0
Ship Repair,crossref,maritime repair supply chain safety standards,50
Ship Repair,scopus,maritime repair supply chain safety standards,0
Ship Repair,wos,maritime repair supply chain safety standards,0
