record_pk,canonical_record_id,preferred_identifier,source_type_code,source_type_label,qmbd_axis_code,qmbd_axis_label,record_origin_code,record_origin_label,title,doi,source_id
record_pk_fe5a7beb2eb29072,10.1007/1-4020-4693-6_6,10.1007/1-4020-4693-6_6,1,literature_record,-98,Not extracted,3,LIVE_API,"Retailers' supply chain, product differentiation and quality standards",10.1007/1-4020-4693-6_6,crossref:10.1007/1-4020-4693-6_6
record_pk_8c88f4bbe793ba03,10.1007/978-1-4020-8835-3_20,10.1007/978-1-4020-8835-3_20,1,literature_record,-98,Not extracted,3,LIVE_API,Governance for Global Competitiveness: The Future of Aquaculture Policy in aWorld Turned Upside Down,10.1007/978-1-4020-8835-3_20,crossref:10.1007/978-1-4020-8835-3_20
record_pk_0d0080eb36d6f0ef,10.1007/978-1-4020-8835-3_3,10.1007/978-1-4020-8835-3_3,1,literature_record,-98,Not extracted,3,LIVE_API,Science and Governance Issues in Aquaculture AnimalWelfare,10.1007/978-1-4020-8835-3_3,crossref:10.1007/978-1-4020-8835-3_3
record_pk_d85afc4ceeb8949f,10.1007/978-1-4020-8835-3_9,10.1007/978-1-4020-8835-3_9,1,literature_record,-98,Not extracted,3,LIVE_API,"Ethics, Governance and Regulation",10.1007/978-1-4020-8835-3_9,crossref:10.1007/978-1-4020-8835-3_9
record_pk_1cb197a8f542821a,10.1007/978-1-4614-6230-9_2,10.1007/978-1-4614-6230-9_2,1,literature_record,-98,Not extracted,3,LIVE_API,Improving Situation Awareness in the Maritime Domain,10.1007/978-1-4614-6230-9_2,crossref:10.1007/978-1-4614-6230-9_2
record_pk_6cc9b29f5facc56d,10.1007/978-1-4939-2178-2_2,10.1007/978-1-4939-2178-2_2,1,literature_record,-98,Not extracted,3,LIVE_API,Maritime Piracy and the Supply Chain,10.1007/978-1-4939-2178-2_2,crossref:10.1007/978-1-4939-2178-2_2
record_pk_118e9e8e0ab6743c,10.1007/978-3-030-02203-7_1,10.1007/978-3-030-02203-7_1,1,literature_record,-98,Not extracted,3,LIVE_API,Machine Tool: From the Digital Twin to the Cyber-Physical Systems,10.1007/978-3-030-02203-7_1,crossref:10.1007/978-3-030-02203-7_1
record_pk_12fbd1982649c404,10.1007/978-3-030-03825-0_9,10.1007/978-3-030-03825-0_9,1,literature_record,-98,Not extracted,3,LIVE_API,"Maritime Governance, Security Measures and Port Competition in the EU",10.1007/978-3-030-03825-0_9,crossref:10.1007/978-3-030-03825-0_9
record_pk_3a5a528cb8546c1f,10.1007/978-3-030-31684-6_14,10.1007/978-3-030-31684-6_14,1,literature_record,-98,Not extracted,3,LIVE_API,Water Desalination: Environmental Impacts and Brine Management,10.1007/978-3-030-31684-6_14,crossref:10.1007/978-3-030-31684-6_14
record_pk_ced7bfc29de4b5a4,10.1007/978-3-030-31749-2_6,10.1007/978-3-030-31749-2_6,1,literature_record,-98,Not extracted,3,LIVE_API,Governance of International Shipping in the Era of Decarbonisation: New Challenges for the IMO?,10.1007/978-3-030-31749-2_6,crossref:10.1007/978-3-030-31749-2_6
record_pk_af07ace1f1adf1ac,10.1007/978-3-030-34630-0_2,10.1007/978-3-030-34630-0_2,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Blue justice frameworks and social sustainability: Oceans and Blue Economies,,10.1007/978-3-030-34630-0_2
record_pk_0db594fab27fbd9a,10.1007/978-3-030-34983-7_35,10.1007/978-3-030-34983-7_35,1,literature_record,-98,Not extracted,3,LIVE_API,Digital Twin Analytic Predictive Applications in Cyber-Physical Systems,10.1007/978-3-030-34983-7_35,crossref:10.1007/978-3-030-34983-7_35
record_pk_04540b2b7d580214,10.1007/978-3-030-36875-3_6,10.1007/978-3-030-36875-3_6,1,literature_record,-98,Not extracted,3,LIVE_API,COREDAR: A Coastal Climate Service Framework on Sea-Level Rise Risk Communication for Adaptation Policy Planning,10.1007/978-3-030-36875-3_6,crossref:10.1007/978-3-030-36875-3_6
record_pk_28555e9957e3a9bd,10.1007/978-3-030-37371-9_21,10.1007/978-3-030-37371-9_21,1,literature_record,-98,Not extracted,3,LIVE_API,"Small-Scale Fisheries Governance in Norway: Hierarchy, Institutions and Markets",10.1007/978-3-030-37371-9_21,crossref:10.1007/978-3-030-37371-9_21
record_pk_495f1025031f49d9,10.1007/978-3-030-37371-9_22,10.1007/978-3-030-37371-9_22,1,literature_record,-98,Not extracted,3,LIVE_API,"History, Status and Governance of Small-Scale Fisheries in Arkhangelsk Oblast, Northwest Russia",10.1007/978-3-030-37371-9_22,crossref:10.1007/978-3-030-37371-9_22
record_pk_9baa0fef5ae87d40,10.1007/978-3-030-37371-9_6,10.1007/978-3-030-37371-9_6,1,literature_record,-98,Not extracted,3,LIVE_API,Losing Space: The Rise of the Blue Economy and the Marginalisation of Small-Scale Fishers in Cyprus,10.1007/978-3-030-37371-9_6,crossref:10.1007/978-3-030-37371-9_6
record_pk_c1c43d4704250a29,10.1007/978-3-030-42458-9_18,10.1007/978-3-030-42458-9_18,1,literature_record,-98,Not extracted,3,LIVE_API,Education as a Strategy to Tackle Over Tourism for Overtourism and Inclusive Sustainability in the Twenty-First Century,10.1007/978-3-030-42458-9_18,crossref:10.1007/978-3-030-42458-9_18
record_pk_7cc519d98b628471,10.1007/978-3-030-44975-9_12,10.1007/978-3-030-44975-9_12,1,literature_record,-98,Not extracted,3,LIVE_API,The IMO Regulatory Framework for Arctic Shipping: Risk Perspectives and Goal-Based Pathways,10.1007/978-3-030-44975-9_12,crossref:10.1007/978-3-030-44975-9_12
record_pk_0c180f02ed2a1aa5,10.1007/978-3-030-49540-4_6,10.1007/978-3-030-49540-4_6,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Oceanic subjectivity and cultural identities: The Ethics of Blue Urbanism,,10.1007/978-3-030-49540-4_6
record_pk_446e3347c149c5b3,10.1007/978-3-030-55416-3_16,10.1007/978-3-030-55416-3_16,1,literature_record,-98,Not extracted,3,LIVE_API,Water Governance and the Hydrosocial Territory of the Teles Pires River Basin in the Brazilian Amazon,10.1007/978-3-030-55416-3_16,crossref:10.1007/978-3-030-55416-3_16
record_pk_fca584c7217878d2,10.1007/978-3-030-69325-1_13,10.1007/978-3-030-69325-1_13,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Equitable benefit-sharing in ocean resource governance: Sustainable Maritime Labour Governance: The Role of Transformative Par,,10.1007/978-3-030-69325-1_13
record_pk_c7f448f6f95d0f25,10.1007/978-3-030-69325-1_19,10.1007/978-3-030-69325-1_19,1,literature_record,-98,Not extracted,3,LIVE_API,"Mind the Gap: Women in the Boardroom, on Board and in the Port",10.1007/978-3-030-69325-1_19,crossref:10.1007/978-3-030-69325-1_19
record_pk_4306ba410b9dd6f2,10.1007/978-3-030-69325-1_20,10.1007/978-3-030-69325-1_20,1,literature_record,-98,Not extracted,3,LIVE_API,Maritime Governance and International Maritime Organization Instruments Focused on Sustainability in the Light of United Nations’ Sustainable Development Goals,10.1007/978-3-030-69325-1_20,crossref:10.1007/978-3-030-69325-1_20
record_pk_7de3975c58939ce7,10.1007/978-3-030-69325-1_8,10.1007/978-3-030-69325-1_8,1,literature_record,-98,Not extracted,3,LIVE_API,Port and Maritime Security and Sustainability,10.1007/978-3-030-69325-1_8,crossref:10.1007/978-3-030-69325-1_8
record_pk_00c265726c42e6c5,10.1007/978-3-030-71819-0_15,10.1007/978-3-030-71819-0_15,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Equitable benefit-sharing in ocean resource governance: The Blue Growth Smart Specialization Challenges Towards the Restorativ,,10.1007/978-3-030-71819-0_15
record_pk_bacdbbf257f218c9,10.1007/978-3-030-72585-3,10.1007/978-3-030-72585-3,1,literature_record,-98,Not extracted,3,LIVE_API,Blue Governance in the Arctic and Antarctic,10.1007/978-3-030-72585-3,crossref:10.1007/978-3-030-72585-3
record_pk_372ee74d338b65e6,10.1007/978-3-030-76008-3_23,10.1007/978-3-030-76008-3_23,1,literature_record,-98,Not extracted,3,LIVE_API,Sustainable Approach to Water-Energy Nexus: Sea-Water Reverse Osmosis Desalination and its Future Directions,10.1007/978-3-030-76008-3_23,crossref:10.1007/978-3-030-76008-3_23
record_pk_c9885f1bd7722c5f,10.1007/978-3-030-76081-6_57,10.1007/978-3-030-76081-6_57,1,literature_record,-98,Not extracted,3,LIVE_API,"Optimization of Energy in Seawater Desalination Plants (Case: Palm Beach Desalination Plant, Algiers)",10.1007/978-3-030-76081-6_57,crossref:10.1007/978-3-030-76081-6_57
record_pk_76b030af50fc5bf0,10.1007/978-3-030-76806-5_3,10.1007/978-3-030-76806-5_3,1,literature_record,-98,Not extracted,3,LIVE_API,Critical Raw Materials in Polymer Electrolyte Fuel Cells,10.1007/978-3-030-76806-5_3,crossref:10.1007/978-3-030-76806-5_3
record_pk_787a8fd42d16739c,10.1007/978-3-030-76806-5_4,10.1007/978-3-030-76806-5_4,1,literature_record,-98,Not extracted,3,LIVE_API,Critical Raw Materials in Solid Oxide Fuel Cells,10.1007/978-3-030-76806-5_4,crossref:10.1007/978-3-030-76806-5_4
record_pk_19c565d4f102ce69,10.1007/978-3-030-76806-5_5,10.1007/978-3-030-76806-5_5,1,literature_record,-98,Not extracted,3,LIVE_API,Technology Governance,10.1007/978-3-030-76806-5_5,crossref:10.1007/978-3-030-76806-5_5
record_pk_6fd1073b90bff428,10.1007/978-3-030-76806-5_6,10.1007/978-3-030-76806-5_6,1,literature_record,-98,Not extracted,3,LIVE_API,The Case for Governance of Critical Raw Materials in Fuel Cell Research and Development,10.1007/978-3-030-76806-5_6,crossref:10.1007/978-3-030-76806-5_6
record_pk_953f0971c6ba6d4c,10.1007/978-3-030-87982-2_19,10.1007/978-3-030-87982-2_19,1,literature_record,-98,Not extracted,3,LIVE_API,Sharing Financial Benefits from Deep Seabed Mining: The Case for a Seabed Sustainability Fund,10.1007/978-3-030-87982-2_19,crossref:10.1007/978-3-030-87982-2_19
record_pk_8ba089fb0ae7e727,10.1007/978-3-030-89624-9_1,10.1007/978-3-030-89624-9_1,1,literature_record,-98,Not extracted,3,LIVE_API,Small-Scale Fisheries in the Blue Economy,10.1007/978-3-030-89624-9_1,crossref:10.1007/978-3-030-89624-9_1
record_pk_d420e7413d81567d,10.1007/978-3-030-89624-9_10,10.1007/978-3-030-89624-9_10,1,literature_record,-98,Not extracted,3,LIVE_API,Perception and Reality of Justice in the Small-Scale Fisheries of Nigeria,10.1007/978-3-030-89624-9_10,crossref:10.1007/978-3-030-89624-9_10
record_pk_f963baa745e06d42,10.1007/978-3-030-89624-9_11,10.1007/978-3-030-89624-9_11,1,literature_record,-98,Not extracted,3,LIVE_API,"Making Sense of Multidimensional Injustice for Creating Viable Small-Scale Fisheries in Chilika Lagoon, Bay of Bengal",10.1007/978-3-030-89624-9_11,crossref:10.1007/978-3-030-89624-9_11
record_pk_146bcd961dc6e29e,10.1007/978-3-030-89624-9_12,10.1007/978-3-030-89624-9_12,1,literature_record,-98,Not extracted,3,LIVE_API,Legalized Injustices: Old Providence Island (Colombia) Small-Scale Fisheries in the Context of Geopolitical Disputes and State Power,10.1007/978-3-030-89624-9_12,crossref:10.1007/978-3-030-89624-9_12
record_pk_034e1f5e7b89b567,10.1007/978-3-030-89624-9_13,10.1007/978-3-030-89624-9_13,1,literature_record,-98,Not extracted,3,LIVE_API,"Social Conflicts and Fishery Governance Systems in the Estuary and Coast of Pará, Amazonia, Brazil",10.1007/978-3-030-89624-9_13,crossref:10.1007/978-3-030-89624-9_13
record_pk_597a0168db1cb72b,10.1007/978-3-030-89624-9_15,10.1007/978-3-030-89624-9_15,1,literature_record,-98,Not extracted,3,LIVE_API,Adopting a Blue Justice Lens for Japanese Small-Scale Fisheries: Important Insights from the Case of the Inatori Kinme Fishery,10.1007/978-3-030-89624-9_15,crossref:10.1007/978-3-030-89624-9_15
record_pk_ac13e8a4f72885f6,10.1007/978-3-030-89624-9_17,10.1007/978-3-030-89624-9_17,1,literature_record,-98,Not extracted,3,LIVE_API,Making Pescatourism Just for Small-Scale Fisheries: The Case of Turkey and Lessons for Others,10.1007/978-3-030-89624-9_17,crossref:10.1007/978-3-030-89624-9_17
record_pk_9da1731393075eb6,10.1007/978-3-030-89624-9_2,10.1007/978-3-030-89624-9_2,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Indigenous and traditional fishing rights advocacy: Blue Justice in Three Governance Orders,,10.1007/978-3-030-89624-9_2
record_pk_64f7efc2137e2795,10.1007/978-3-030-89624-9_22,10.1007/978-3-030-89624-9_22,1,literature_record,-98,Not extracted,3,LIVE_API,"Small-Scale Fishers in the Time of COVID-19: Reinforcing the Inequalities in the Food, Economic, and Governance Systems in South Africa and Zimbabwe",10.1007/978-3-030-89624-9_22,crossref:10.1007/978-3-030-89624-9_22
record_pk_3523e82136f7fb87,10.1007/978-3-030-89624-9_26,10.1007/978-3-030-89624-9_26,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Community participation in marine spatial planning: Incentives to Mariculture Development in Brazil: Environmental Injusti,,10.1007/978-3-030-89624-9_26
record_pk_d8576b6bf06ef989,10.1007/978-3-030-89624-9_28,10.1007/978-3-030-89624-9_28,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Indigenous and traditional fishing rights advocacy: Institutionalizing injustice? Aligning governance orders in Swedish sm,,10.1007/978-3-030-89624-9_28
record_pk_e98d9775d317f558,10.1007/978-3-030-89624-9_30,10.1007/978-3-030-89624-9_30,1,literature_record,-98,Not extracted,3,LIVE_API,"Blue Justice and Small-Scale Fisher Mobilizations in Istanbul, Turkey: Justice Claims, Political Agency, and Alliances",10.1007/978-3-030-89624-9_30,crossref:10.1007/978-3-030-89624-9_30
record_pk_ded2f6224d653cc2,10.1007/978-3-030-89624-9_32,10.1007/978-3-030-89624-9_32,1,literature_record,-98,Not extracted,3,LIVE_API,Strengthening Capabilities of Individuals and Communities Through a Small-Scale Fisheries Academy,10.1007/978-3-030-89624-9_32,crossref:10.1007/978-3-030-89624-9_32
record_pk_55c0314e704ce555,10.1007/978-3-030-89624-9_33,10.1007/978-3-030-89624-9_33,1,literature_record,-98,Not extracted,3,LIVE_API,Understanding Gender Equality in Small-Scale Fisheries and Its Role in Enhancing Blue Justice,10.1007/978-3-030-89624-9_33,crossref:10.1007/978-3-030-89624-9_33
record_pk_5b77dcdb469c8904,10.1007/978-3-030-89624-9_35,10.1007/978-3-030-89624-9_35,1,literature_record,-98,Not extracted,3,LIVE_API,Towards Blue Justice for Small-Scale Fisheries,10.1007/978-3-030-89624-9_35,crossref:10.1007/978-3-030-89624-9_35
record_pk_841a83e5ba3ce7da,10.1007/978-3-030-89624-9_5,10.1007/978-3-030-89624-9_5,1,literature_record,-98,Not extracted,3,LIVE_API,Governance for Blue Justice: Examining Struggles and Contradictions in Atlantic Canada’s Small-Scale Fisheries,10.1007/978-3-030-89624-9_5,crossref:10.1007/978-3-030-89624-9_5
record_pk_06a3f950d252a6e4,10.1007/978-3-030-89624-9_7,10.1007/978-3-030-89624-9_7,1,literature_record,-98,Not extracted,3,LIVE_API,Blue Justice and Small-Scale Fisher Migration: A Case Study from Sri Lanka,10.1007/978-3-030-89624-9_7,crossref:10.1007/978-3-030-89624-9_7
record_pk_8e78117901bae654,10.1007/978-3-030-89624-9_8,10.1007/978-3-030-89624-9_8,1,literature_record,-98,Not extracted,3,LIVE_API,Marginalization and Reinvention of Small-Scale Fisheries: A Finnish Case Study of Social Justice,10.1007/978-3-030-89624-9_8,crossref:10.1007/978-3-030-89624-9_8
record_pk_ab133a910abf7cb1,10.1007/978-3-030-89624-9_9,10.1007/978-3-030-89624-9_9,1,literature_record,-98,Not extracted,3,LIVE_API,An Evaluation of Multidimensional Justice Conflicts in Small-Scale Fisheries in Nigeria,10.1007/978-3-030-89624-9_9,crossref:10.1007/978-3-030-89624-9_9
record_pk_ef58c23166dc31d3,10.1007/978-3-030-91275-8_1,10.1007/978-3-030-91275-8_1,1,literature_record,2,Maritime,2,STATIC_LITERATURE,Maritimisation processes and port-city relations: Introduction: Maritime Im/Mobilities,,10.1007/978-3-030-91275-8_1
record_pk_e38081b131b12a2a,10.1007/978-3-030-95120-7_6,10.1007/978-3-030-95120-7_6,1,literature_record,-98,Not extracted,3,LIVE_API,Digital Twin of Building Heating Substation: An Example of a Digital Twin of a Cyber-Physical System,10.1007/978-3-030-95120-7_6,crossref:10.1007/978-3-030-95120-7_6
record_pk_e39ba96a00ba5dee,10.1007/978-3-031-07908-5_3,10.1007/978-3-031-07908-5_3,1,literature_record,-98,Not extracted,3,LIVE_API,Blue Economy and Livelihoods in Indian Sundarbans,10.1007/978-3-031-07908-5_3,crossref:10.1007/978-3-031-07908-5_3
record_pk_19c3c3ab239fd810,10.1007/978-3-031-08206-1_180010,10.1007/978-3-031-08206-1_180010,1,literature_record,-98,Not extracted,3,LIVE_API,The CIESM Charter on Access and Benefit – Sharing of Marine Genetic Resources,10.1007/978-3-031-08206-1_180010,crossref:10.1007/978-3-031-08206-1_180010
record_pk_b8be0d1130a7e177,10.1007/978-3-031-16277-0,10.1007/978-3-031-16277-0,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Science-policy interface in maritime governance: The blue compendium: From knowledge to action for a sustainable ocean,,10.1007/978-3-031-16277-0
record_pk_d24c82955f30096f,10.1007/978-3-031-16277-0_11,10.1007/978-3-031-16277-0_11,1,literature_record,2,Maritime,2,STATIC_LITERATURE,Labour union organising and collective bargaining: The Human Relationship with Our Ocean Planet,,10.1007/978-3-031-16277-0_11
record_pk_ac50f26567f50e08,10.1007/978-3-031-16277-0_13,10.1007/978-3-031-16277-0_13,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Indigenous and traditional fishing rights advocacy: Towards Ocean Equity,,10.1007/978-3-031-16277-0_13
record_pk_8b905dbfb7ba11bb,10.1007/978-3-031-20740-2_1,10.1007/978-3-031-20740-2_1,1,literature_record,3,Oceanic,2,STATIC_LITERATURE,Sustainability transitions in coastal societies: Ocean Governance for Sustainability Transformation,,10.1007/978-3-031-20740-2_1
record_pk_735a38c043877c0d,10.1007/978-3-031-20740-2_16,10.1007/978-3-031-20740-2_16,1,literature_record,-98,Not extracted,3,LIVE_API,Market Initiatives of Small-Scale Fisheries in the Mediterranean: Innovation in Support of Sustainable Blue Economy,10.1007/978-3-031-20740-2_16,crossref:10.1007/978-3-031-20740-2_16
record_pk_b83d0d8f0ff32346,10.1007/978-3-031-21343-4_13,10.1007/978-3-031-21343-4_13,1,literature_record,-98,Not extracted,3,LIVE_API,A Graph-Based Cross-Vertical Digital Twin Platform for Complex Cyber-Physical Systems,10.1007/978-3-031-21343-4_13,crossref:10.1007/978-3-031-21343-4_13
record_pk_7c292489b92dee29,10.1007/978-3-031-21634-3_2,10.1007/978-3-031-21634-3_2,1,literature_record,-98,Not extracted,3,LIVE_API,Maritime Security: Call of the Seas,10.1007/978-3-031-21634-3_2,crossref:10.1007/978-3-031-21634-3_2
record_pk_49d09ff825bd9a9f,10.1007/978-3-031-21634-3_4,10.1007/978-3-031-21634-3_4,1,literature_record,-98,Not extracted,3,LIVE_API,Coastal and Port Security,10.1007/978-3-031-21634-3_4,crossref:10.1007/978-3-031-21634-3_4
record_pk_6f367eac543bd6cb,10.1007/978-3-031-21634-3_5,10.1007/978-3-031-21634-3_5,1,literature_record,-98,Not extracted,3,LIVE_API,Blue Economy and Smart Sea Transport Systems,10.1007/978-3-031-21634-3_5,crossref:10.1007/978-3-031-21634-3_5
record_pk_4644bd1ee6b326a1,10.1007/978-3-031-21634-3_7,10.1007/978-3-031-21634-3_7,1,literature_record,-98,Not extracted,3,LIVE_API,Maritime Clusters,10.1007/978-3-031-21634-3_7,crossref:10.1007/978-3-031-21634-3_7
